1-1-53全国按经营耕地规模和机构类型分的农业生产经营单位数(不含未注册单位)-名称,单位：个-合计,企业,事业,机关,社会团体,民办非企业,其他法人单位,未回答
,,,,,,,,
合  计,268217.0,67179.0,99101.0,9408.0,7517.0,2398.0,82478.0,136.0
0亩,224925.0,46956.0,89081.0,7574.0,6375.0,1916.0,72925.0,98.0
0.1-5亩,6205.0,1894.0,2201.0,618.0,225.0,71.0,1190.0,6.0
5.1-10亩,2936.0,1192.0,853.0,160.0,74.0,29.0,625.0,3.0
10.1-15亩,1576.0,701.0,426.0,87.0,29.0,20.0,313.0,
15.1-20亩,1873.0,833.0,513.0,70.0,50.0,30.0,376.0,1.0
20.1-25亩,868.0,410.0,189.0,45.0,14.0,11.0,199.0,
25.1-30亩,1468.0,668.0,355.0,48.0,40.0,10.0,346.0,1.0
30.1-35亩,619.0,277.0,143.0,18.0,17.0,4.0,160.0,
35.1-40亩,996.0,435.0,230.0,33.0,25.0,16.0,257.0,
40.1-45亩,517.0,248.0,91.0,17.0,13.0,6.0,141.0,1.0
45.1-50亩,1323.0,623.0,306.0,34.0,27.0,11.0,321.0,1.0
50.1-55亩,346.0,152.0,61.0,9.0,6.0,8.0,109.0,1.0
55.1-60亩,884.0,434.0,182.0,40.0,25.0,9.0,194.0,
60.1-65亩,308.0,145.0,59.0,7.0,5.0,4.0,88.0,
65.1-70亩,587.0,264.0,128.0,9.0,15.0,9.0,160.0,2.0
70.1-75亩,296.0,121.0,54.0,12.0,7.0,3.0,98.0,1.0
75.1-80亩,733.0,365.0,143.0,25.0,24.0,11.0,165.0,
80.1-85亩,269.0,118.0,43.0,8.0,8.0,2.0,90.0,
85.1-90亩,403.0,154.0,90.0,11.0,14.0,5.0,128.0,1.0
90.1-95亩,165.0,59.0,26.0,5.0,2.0,1.0,72.0,
95.1-100亩,1211.0,590.0,236.0,27.0,31.0,24.0,302.0,1.0
100.1-150亩,3002.0,1434.0,546.0,89.0,85.0,42.0,802.0,4.0
150.1-200亩,2429.0,1121.0,422.0,50.0,55.0,22.0,754.0,5.0
200.1-250亩,1321.0,620.0,229.0,44.0,41.0,22.0,364.0,1.0
250.1-300亩,1474.0,673.0,305.0,48.0,48.0,22.0,376.0,2.0
300.1-400亩,1633.0,764.0,318.0,49.0,85.0,18.0,397.0,2.0
400.1-500亩,1346.0,683.0,255.0,35.0,64.0,9.0,300.0,
500.1-1000亩,2768.0,1433.0,560.0,62.0,70.0,35.0,608.0,
1000.1-5000亩,3451.0,2092.0,657.0,118.0,30.0,24.0,528.0,2.0
5000亩以上,2285.0,1720.0,399.0,56.0,13.0,4.0,90.0,3.0
