9-10按收入五等份分组的农村居民人均收入和支出情况(2022年)-PerCapitaIncomeandExpenditureofRuralHouseholdsbyIncomeQuintile(2022)-单位：元-项目-项目-项目-项目-项目,9-10按收入五等份分组的农村居民人均收入和支出情况(2022年)-PerCapitaIncomeandExpenditureofRuralHouseholdsbyIncomeQuintile(2022)-Item-Item-Item-Item-Item,9-10按收入五等份分组的农村居民人均收入和支出情况(2022年)-PerCapitaIncomeandExpenditureofRuralHouseholdsbyIncomeQuintile(2022)-总平均-Average,9-10按收入五等份分组的农村居民人均收入和支出情况(2022年)-PerCapitaIncomeandExpenditureofRuralHouseholdsbyIncomeQuintile(2022)-低收入户-Low-Income-Households,9-10按收入五等份分组的农村居民人均收入和支出情况(2022年)-PerCapitaIncomeandExpenditureofRuralHouseholdsbyIncomeQuintile(2022)-中低收入户-Lower-Middle-Income-Households,9-10按收入五等份分组的农村居民人均收入和支出情况(2022年)-PerCapitaIncomeandExpenditureofRuralHouseholdsbyIncomeQuintile(2022)-中等收入户-Middle-Income-Households,9-10按收入五等份分组的农村居民人均收入和支出情况(2022年)-PerCapitaIncomeandExpenditureofRuralHouseholdsbyIncomeQuintile(2022)-中高收入户-Upper-Middle-Income-Households,9-10按收入五等份分组的农村居民人均收入和支出情况(2022年)-PerCapitaIncomeandExpenditureofRuralHouseholdsbyIncomeQuintile(2022)-(yuan)-高收入户-High-Income-Households
,,,,,,,
人均总收入,Per Capita Total Income,25117.0,11460.0,16111.0,21408.0,28570.0,56459.0
人均可支配收入,Per Capita Disposable Income,18672.0,5230.0,12010.0,16872.0,23165.0,43250.0
工资性收入,Income of Wages and Salaries,5844.0,2471.0,3933.0,5710.0,8521.0,10211.0
经营净收入,Net Business Income,7045.0,234.0,3104.0,5188.0,7723.0,23139.0
财产净收入,Net Income from Property,628.0,211.0,238.0,382.0,554.0,2090.0
转移净收入,Net Income from Transfer,5156.0,2314.0,4735.0,5592.0,6367.0,7810.0
人均现金收入,Per Capita Cash Income,22780.0,10118.0,13966.0,18965.0,25910.0,52967.0
现金工资性收入,Cash Wages Income,5742.0,2419.0,3892.0,5621.0,8403.0,9964.0
现金经营性收入,Cash Household Business Income,10796.0,4543.0,4701.0,6959.0,10167.0,32711.0
现金财产性收入,Cash Property Income,701.0,288.0,292.0,477.0,618.0,2165.0
现金转移性收入,Cash Transfer Income,5541.0,2868.0,5081.0,5908.0,6722.0,8127.0
人均总支出,Per Capita Total  Expenditure,28094.0,23534.0,21255.0,25440.0,28761.0,45728.0
#生产经营费用支出,Expenditure for Production,5179.0,5009.0,3130.0,3418.0,4114.0,11349.0
生活消费支出,Expenditure for Consumption,17199.0,14027.0,14082.0,16882.0,18664.0,24406.0
人均现金支出,Per Capita Expenditure in Cash,24291.0,20697.0,17868.0,21541.0,24505.0,40657.0
#生产经营现金费用支出,Expenditure in Cash for Production,4716.0,4649.0,2635.0,2922.0,3615.0,10865.0
现金消费支出,Cash Consumption Expenditure,13859.0,11550.0,11190.0,13479.0,14908.0,19819.0
