7-1-53全国农村按乡村类型分的常住户承包经营耕地的户数和比重-分组,从户籍所在村集体承包过耕地的户-户数(户),比重(%),有自留地、开荒地的户-户数(户),比重(%).1,有经营耕地的户-户数(户),比重(%).2
,,,,,,
合    计,201333689.0,91.0,66935148.0,30.0,192140538.0,87.0
一、按社区类型分,,,,,,
村委会,197192534.0,92.0,65444221.0,31.0,188311425.0,88.0
居委会,4141155.0,62.0,1490927.0,22.0,3829113.0,57.0
二、按地势分,,,,,,
平原,85043501.0,89.0,16384371.0,17.0,81299604.0,85.0
丘陵,66899711.0,92.0,27074908.0,37.0,63205440.0,87.0
山区,49375433.0,94.0,23472320.0,45.0,47620625.0,91.0
三、按贫困村类型分,,,,,,
贫困村,36063137.0,96.0,14253027.0,38.0,35012354.0,93.0
省定贫困村,23925730.0,96.0,8948096.0,36.0,23322592.0,94.0
省以下定贫困村,12137407.0,95.0,5304931.0,41.0,11689762.0,91.0
非贫困村,165255508.0,90.0,52678572.0,29.0,157113315.0,86.0
四、按是否少数民族聚居村分,,,,,,
是,19851425.0,92.0,9461761.0,44.0,19335808.0,90.0
否,181467220.0,91.0,57469838.0,29.0,172789861.0,87.0
五、按所在乡镇类型分,,,,,,
乡,56227780.0,95.0,18133644.0,31.0,54552413.0,93.0
镇,135908848.0,92.0,46597221.0,31.0,129219268.0,87.0
街道,8520578.0,66.0,1932076.0,15.0,7670347.0,59.0
农场,630734.0,66.0,261710.0,27.0,653407.0,68.0
六、按所在乡镇是否县政府驻地分,,,,,,
是,14497849.0,82.0,4594860.0,26.0,13810030.0,78.0
否,186790091.0,92.0,62329791.0,31.0,178285405.0,88.0
七、按所在乡镇是否民族乡镇分,,,,,,
是,8782207.0,93.0,3583847.0,38.0,8514888.0,91.0
否,192505733.0,91.0,63340804.0,30.0,183580547.0,87.0
八、按所在乡镇是否老区分,,,,,,
是,47535380.0,93.0,17813767.0,35.0,45334379.0,89.0
否,153752560.0,90.0,49110884.0,29.0,146761056.0,86.0
九、按所在乡镇是否边区分,,,,,,
是,6622974.0,93.0,2935497.0,41.0,6369391.0,90.0
否,194664966.0,91.0,63989154.0,30.0,185726044.0,87.0
