表9-6湖南省分年龄、性别、婚姻状况的老年人口-年龄别-年龄别,表9-6湖南省分年龄、性别、婚姻状况的老年人口-60岁及以上人口-小计,表9-6湖南省分年龄、性别、婚姻状况的老年人口-60岁及以上人口-男,表9-6湖南省分年龄、性别、婚姻状况的老年人口-60岁及以上人口-女,表9-6湖南省分年龄、性别、婚姻状况的老年人口-未婚-小计,表9-6湖南省分年龄、性别、婚姻状况的老年人口-未婚-男,表9-6湖南省分年龄、性别、婚姻状况的老年人口-未婚-女,表9-6湖南省分年龄、性别、婚姻状况的老年人口-初婚有配偶-小计,表9-6湖南省分年龄、性别、婚姻状况的老年人口-初婚有配偶-男,表9-6湖南省分年龄、性别、婚姻状况的老年人口-初婚有配偶-女,表9-6湖南省分年龄、性别、婚姻状况的老年人口-再婚有配偶-小计,表9-6湖南省分年龄、性别、婚姻状况的老年人口-再婚有配偶-男,表9-6湖南省分年龄、性别、婚姻状况的老年人口-再婚有配偶-女,表9-6湖南省分年龄、性别、婚姻状况的老年人口-离婚-小计,表9-6湖南省分年龄、性别、婚姻状况的老年人口-离婚-男,表9-6湖南省分年龄、性别、婚姻状况的老年人口-离婚-女,表9-6湖南省分年龄、性别、婚姻状况的老年人口-丧偶-小计,表9-6湖南省分年龄、性别、婚姻状况的老年人口-单位：人-丧偶-男,表9-6湖南省分年龄、性别、婚姻状况的老年人口-丧偶-女
总计,89137,44712,44425,1258.0,1200.0,58.0,58542,33329,25213,3440.0,1913.0,1527.0,541.0,397.0,144.0,25356,7873,17483
60-64,25435,13463,11972,477.0,461.0,16.0,20571,11257,9314,963.0,498.0,465.0,190.0,142.0,48.0,3234,1105,2129
60,5264,2729,2535,112.0,110.0,2.0,4339,2305,2034,180.0,85.0,95.0,35.0,26.0,9.0,598,203,395
61,5399,2871,2528,118.0,115.0,3.0,4424,2401,2023,222.0,114.0,108.0,38.0,28.0,10.0,597,213,384
62,5010,2624,2386,94.0,90.0,4.0,4053,2217,1836,176.0,89.0,87.0,44.0,32.0,12.0,643,196,447
63,4743,2518,2225,88.0,82.0,6.0,3795,2090,1705,187.0,102.0,85.0,36.0,29.0,7.0,637,215,422
64,5019,2721,2298,65.0,64.0,1.0,3960,2244,1716,198.0,108.0,90.0,37.0,27.0,10.0,759,278,481
65-69,23941,12433,11508,406.0,397.0,9.0,17559,9891,7668,950.0,508.0,442.0,149.0,115.0,34.0,4877,1522,3355
65,5124,2628,2496,87.0,86.0,1.0,3900,2109,1791,226.0,127.0,99.0,46.0,37.0,9.0,865,269,596
66,4315,2221,2094,72.0,72.0,0.0,3227,1790,1437,183.0,90.0,93.0,14.0,8.0,6.0,819,261,558
67,5309,2786,2523,84.0,81.0,3.0,3928,2246,1682,198.0,112.0,86.0,28.0,21.0,7.0,1071,326,745
68,4849,2496,2353,96.0,93.0,3.0,3480,1973,1507,177.0,92.0,85.0,36.0,32.0,4.0,1060,306,754
69,4344,2302,2042,67.0,65.0,2.0,3024,1773,1251,166.0,87.0,79.0,25.0,17.0,8.0,1062,360,702
70-74,18639,9435,9204,207.0,201.0,6.0,11616,6800,4816,796.0,472.0,324.0,101.0,74.0,27.0,5919,1888,4031
70,4322,2233,2089,66.0,64.0,2.0,2825,1634,1191,197.0,120.0,77.0,31.0,26.0,5.0,1203,389,814
71,3757,1901,1856,41.0,41.0,0.0,2393,1373,1020,165.0,93.0,72.0,24.0,17.0,7.0,1134,377,757
72,4099,2089,2010,48.0,46.0,2.0,2557,1519,1038,177.0,104.0,73.0,15.0,11.0,4.0,1302,409,893
73,3350,1667,1683,23.0,23.0,0.0,2053,1217,836,120.0,69.0,51.0,18.0,13.0,5.0,1136,345,791
74,3111,1545,1566,29.0,27.0,2.0,1788,1057,731,137.0,86.0,51.0,13.0,7.0,6.0,1144,368,776
75-79,12050,5651,6399,91.0,82.0,9.0,5918,3564,2354,490.0,297.0,193.0,65.0,42.0,23.0,5486,1666,3820
75,3155,1515,1640,23.0,20.0,3.0,1691,999,692,121.0,76.0,45.0,19.0,13.0,6.0,1301,407,894
76,2446,1154,1292,15.0,15.0,0.0,1263,753,510,116.0,75.0,41.0,9.0,6.0,3.0,1043,305,738
77,2468,1131,1337,21.0,19.0,2.0,1190,710,480,102.0,54.0,48.0,16.0,9.0,7.0,1139,339,800
78,2283,1061,1222,18.0,15.0,3.0,1039,640,399,85.0,50.0,35.0,17.0,10.0,7.0,1124,346,778
79,1698,790,908,14.0,13.0,1.0,735,462,273,66.0,42.0,24.0,4.0,4.0,0.0,879,269,610
80-84,6222,2700,3522,54.0,43.0,11.0,2237,1432,805,188.0,105.0,83.0,23.0,17.0,6.0,3720,1103,2617
80,1694,762,932,17.0,15.0,2.0,689,444,245,52.0,31.0,21.0,8.0,5.0,3.0,928,267,661
81,1406,654,752,14.0,13.0,1.0,523,341,182,52.0,26.0,26.0,3.0,3.0,0.0,814,271,543
82,1196,520,676,13.0,11.0,2.0,441,276,165,30.0,17.0,13.0,3.0,2.0,1.0,709,214,495
83,1032,418,614,3.0,1.0,2.0,314,191,123,34.0,22.0,12.0,7.0,6.0,1.0,674,198,476
84,894,346,548,7.0,3.0,4.0,270,180,90,20.0,9.0,11.0,2.0,1.0,1.0,595,153,442
85-89,2114,795,1319,17.0,11.0,6.0,515,312,203,46.0,29.0,17.0,12.0,6.0,6.0,1524,437,1087
85,662,265,397,7.0,4.0,3.0,183,109,74,17.0,10.0,7.0,3.0,0.0,3.0,452,142,310
86,477,176,301,2.0,1.0,1.0,114,71,43,11.0,7.0,4.0,5.0,3.0,2.0,345,94,251
87,397,151,246,4.0,4.0,0.0,96,60,36,10.0,5.0,5.0,2.0,2.0,0.0,285,80,205
88,339,118,221,4.0,2.0,2.0,70,41,29,6.0,5.0,1.0,2.0,1.0,1.0,257,69,188
89,239,85,154,,,,52,31,21,2.0,2.0,0.0,,,,185,52,133
90-94,640,214,426,6.0,5.0,1.0,115,68,47,7.0,4.0,3.0,1.0,1.0,0.0,511,136,375
90,216,61,155,4.0,3.0,1.0,35,19,16,2.0,1.0,1.0,,,,175,38,137
91,174,64,110,1.0,1.0,0.0,29,21,8,2.0,2.0,0.0,1.0,1.0,0.0,141,39,102
92,102,31,71,1.0,1.0,0.0,20,9,11,1.0,0.0,1.0,,,,80,21,59
93,84,34,50,,,,16,11,5,2.0,1.0,1.0,,,,66,22,44
94,64,24,40,,,,15,8,7,,,,,,,49,16,33
95岁及以上,96,21,75,,,,11,5,6,,,,,,,85,16,69
