1-1-15全国有各类市场的乡镇个数-名称,单位：个-有综合市场的乡镇,有专业市场的乡镇,有农产品专业市场的乡镇,有粮食专业市场的乡镇,有蔬菜专业市场的乡镇,有水果专业市场的乡镇
,,,,,,
合      计,23770.0,9808.0,7995.0,2130.0,5672.0,2034.0
一、按乡镇类型分,,,,,,
乡,7852.0,2324.0,1911.0,545.0,1241.0,420.0
镇,15918.0,7484.0,6084.0,1585.0,4431.0,1614.0
二、按是否县政府驻地的乡镇分,,,,,,
是,1692.0,1277.0,1101.0,319.0,883.0,473.0
否,22078.0,8531.0,6894.0,1811.0,4789.0,1561.0
三、按地势分,,,,,,
平原,7617.0,4316.0,3467.0,938.0,2563.0,887.0
丘陵,8532.0,3336.0,2739.0,701.0,1956.0,765.0
山区,7621.0,2156.0,1789.0,491.0,1153.0,382.0
四、按是否民族乡镇分,,,,,,
是,1424.0,418.0,331.0,90.0,213.0,79.0
否,22346.0,9390.0,7664.0,2040.0,5459.0,1955.0
五、按是否边区乡镇分,,,,,,
是,1164.0,388.0,324.0,93.0,234.0,91.0
否,22606.0,9420.0,7671.0,2037.0,5438.0,1943.0
六、按是否老区乡镇分,,,,,,
是,5707.0,2345.0,2010.0,584.0,1396.0,503.0
否,18063.0,7463.0,5985.0,1546.0,4276.0,1531.0
