2-4全国各民族分性别、婚姻状况的15岁及以上人口-民族-民族,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-15岁及以上人口-合计,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-15岁及以上人口-男,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-15岁及以上人口-女,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-未婚-小计,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-未婚-男,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-未婚-女,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-有配偶-小计,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-有配偶-男,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-有配偶-女,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-离婚-小计,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-离婚-男,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-离婚-女,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-丧偶-小计,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-丧偶-男,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-丧偶-女
,,,,,,,,,,,,,,,
总  计,114261590.0,57861957.0,56399633.0,21947434.0,13067496.0,8879938.0,83036998.0,41585937.0,41451061.0,2716772.0,1464446.0,1252326.0,6560386.0,1744078.0,4816308.0
汉  族,105143639.0,53274954.0,51868685.0,19807717.0,11785670.0,8022047.0,76829669.0,38542966.0,38286703.0,2480278.0,1337682.0,1142596.0,6025975.0,1608636.0,4417339.0
蒙古族,486694.0,238488.0,248206.0,105537.0,59662.0,45875.0,341175.0,165408.0,175767.0,14935.0,7710.0,7225.0,25047.0,5708.0,19339.0
回  族,859291.0,429911.0,429380.0,166146.0,94275.0,71871.0,625292.0,313207.0,312085.0,24739.0,11800.0,12939.0,43114.0,10629.0,32485.0
藏  族,506256.0,249754.0,256502.0,169838.0,93062.0,76776.0,296023.0,144974.0,151049.0,12140.0,4296.0,7844.0,28255.0,7422.0,20833.0
维吾尔族,755756.0,365270.0,390486.0,176071.0,100800.0,75271.0,506342.0,242949.0,263393.0,31426.0,13958.0,17468.0,41917.0,7563.0,34354.0
苗  族,784133.0,401667.0,382466.0,191477.0,120013.0,71464.0,531869.0,259172.0,272697.0,15663.0,9896.0,5767.0,45124.0,12586.0,32538.0
彝  族,731814.0,367638.0,364176.0,194867.0,118092.0,76775.0,481196.0,231422.0,249774.0,13081.0,7768.0,5313.0,42670.0,10356.0,32314.0
壮  族,1404590.0,710186.0,694404.0,322517.0,205050.0,117467.0,957783.0,466151.0,491632.0,26683.0,15691.0,10992.0,97607.0,23294.0,74313.0
