1-1-46全国按经营耕地规模和受教育程度分的家庭户农业从业人员数量-名称,单位：人-合计,未上学,小学,初中,高中,大专及以上
,,,,,,
合  计,341414555.0,32449280.0,140529373.0,153781193.0,13929517.0,725190.0
0亩,6647062.0,873028.0,2401459.0,2909089.0,419944.0,43542.0
0.1-0.9亩,9386614.0,1005251.0,4047051.0,3895204.0,413562.0,25546.0
1-1.9亩,27771777.0,2908430.0,12166237.0,11582854.0,1060832.0,53424.0
2-2.9亩,40008253.0,3961553.0,17398785.0,17064546.0,1513354.0,70015.0
3-3.9亩,42242852.0,4022497.0,18075929.0,18461211.0,1610449.0,72766.0
4-4.9亩,38761732.0,3613848.0,16209039.0,17345891.0,1523903.0,69051.0
5-5.9亩,30999795.0,2905063.0,12756975.0,14032706.0,1248019.0,57030.0
6-6.9亩,26402265.0,2455696.0,10558707.0,12244739.0,1092196.0,50927.0
7-7.9亩,19446377.0,1826210.0,7708710.0,9053930.0,819717.0,37810.0
8-8.9亩,16020736.0,1504460.0,6299080.0,7500250.0,684616.0,32330.0
9-9.9亩,11853926.0,1119652.0,4639831.0,5562670.0,507457.0,24316.0
10-10.9亩,10520392.0,990927.0,4078482.0,4968952.0,458223.0,23808.0
11-11.9亩,6868906.0,655109.0,2698588.0,3209016.0,291876.0,14317.0
12-12.9亩,6778592.0,635095.0,2641530.0,3197929.0,288969.0,15069.0
13-13.9亩,4812813.0,453059.0,1905268.0,2242734.0,201288.0,10464.0
14-14.9亩,4160914.0,393745.0,1649043.0,1935574.0,173251.0,9301.0
15-15.9亩,3991665.0,367507.0,1577357.0,1869696.0,167360.0,9745.0
16-16.9亩,3156480.0,292893.0,1259615.0,1467597.0,128926.0,7449.0
17-17.9亩,2384176.0,221763.0,956725.0,1104654.0,95648.0,5386.0
18-18.9亩,2539537.0,228620.0,1016686.0,1186565.0,101568.0,6098.0
19-19.9亩,1764127.0,160407.0,713622.0,816611.0,69303.0,4184.0
20-24.9亩,7578155.0,656056.0,3060199.0,3539112.0,302160.0,20628.0
25-29.9亩,4302077.0,353507.0,1739908.0,2027554.0,169444.0,11664.0
30-34.9亩,3211104.0,242910.0,1284618.0,1541902.0,131633.0,10041.0
35-39.9亩,2029119.0,148512.0,806384.0,986204.0,81912.0,6107.0
40-44.9亩,1640391.0,112432.0,644257.0,806987.0,70990.0,5725.0
45-49.9亩,1152455.0,73027.0,447295.0,579553.0,48727.0,3853.0
50-59.9亩,1546463.0,94585.0,587056.0,788142.0,70629.0,6051.0
60-99.9亩,2346496.0,127976.0,851897.0,1243422.0,113334.0,9867.0
100亩以上,1089304.0,45462.0,349040.0,615899.0,70227.0,8676.0
