5-17PerCapitaDisposableIncomeofUrbanandRuralResidents(2016-2018)-Project,5-17PerCapitaDisposableIncomeofUrbanandRuralResidents(2016-2018)-Project.1,5-17PerCapitaDisposableIncomeofUrbanandRuralResidents(2016-2018)-AllResidents,5-17PerCapitaDisposableIncomeofUrbanandRuralResidents(2016-2018)-AllResidents.1,5-17PerCapitaDisposableIncomeofUrbanandRuralResidents(2016-2018)-AllResidents.2,5-17PerCapitaDisposableIncomeofUrbanandRuralResidents(2016-2018)-UrbanPermanentResidents,5-17PerCapitaDisposableIncomeofUrbanandRuralResidents(2016-2018)-UrbanPermanentResidents.1,5-17PerCapitaDisposableIncomeofUrbanandRuralResidents(2016-2018)-UrbanPermanentResidents.2,5-17PerCapitaDisposableIncomeofUrbanandRuralResidents(2016-2018)-Ruralpermanentresidents,5-17PerCapitaDisposableIncomeofUrbanandRuralResidents(2016-2018)-Ruralpermanentresidents.1,5-17PerCapitaDisposableIncomeofUrbanandRuralResidents(2016-2018)-Unit:Yuan-Ruralpermanentresidents
Project,Project,2016,2017,2018,2016,2017,2018,2016.0,2017.0,2018.0
Disposable income,Disposable income,38529,42046,45840,47237,51261,55574,22866.0,24956.0,27302.0
Wage income,Wage income,22207,24137,26242,26656,28818,31148,14204.0,15457.0,16898.0
Wages,Wages,21065,22877,24918,25159,27160,29460,13700.0,14934.0,16267.0
Material Welfare Benefits,Material Welfare Benefits,181,211,132,243,286,167,70.0,72.0,67.0
Other,Other,961,1049,1192,1254,1371,1521,434.0,452.0,564.0
Net operating income,Net operating income,6589,7123,7752,7126,7669,8316,5622.0,6112.0,6677.0
Net income from the primary industry,Net income from the primary industry,777,851,1054,207,262,440,1802.0,1944.0,2222.0
Net income from the secondary industry,Net income from the secondary industry,1631,1766,2074,1751,2001,2273,1416.0,1330.0,1693.0
Net income from the tertiary industry,Net income from the tertiary industry,4181,4506,4624,5168,5405,5602,2405.0,2839.0,2762.0
Net property income,Net property income,4337,4742,5244,6381,6911,7586,662.0,718.0,784.0
Net interest income,Net interest income,132,274,-21,166,376,-55,70.0,84.0,44.0
Dividend Income,Dividend Income,711,663,839,936,877,1188,305.0,266.0,174.0
Net income from savings-type insurance,Net income from savings-type insurance,2,5,5,3,5,8,1.0,3.0,1.0
Net income from rent for transferring contracted land management rights,Net income from rent for transferring contracted land management rights,36,38,81,21,15,57,63.0,81.0,126.0
Net income from renting out houses,Net income from renting out houses,1180,1329,1531,1719,1910,2115,209.0,251.0,419.0
Net income from renting other assets,Net income from renting other assets,9,17,31,8,13,36,10.0,24.0,20.0
Net Imputed Rent of Owner-Occupied Housing,Net Imputed Rent of Owner-Occupied Housing,2256,2379,2684,3511,3661,4093,,,
Other net property income,Other net property income,12,38,94,17,54,144,3.0,9.0,-1.0
Net transfer income,Net transfer income,5396,6043,6602,7074,7863,8524,2378.0,2669.0,2943.0
Transfer Income,Transfer Income,8062,8702,9456,10186,10963,11828,4242.0,4509.0,4939.0
Pension or Retirement Allowance,Pension or Retirement Allowance,6390,6949,7283,8503,9206,9648,2590.0,2765.0,2779.0
Social relief and subsidies,Social relief and subsidies,53,66,91,46,54,64,66.0,90.0,143.0
Agricultural Support Subsidies,Agricultural Support Subsidies,15,13,22,6,5,6,33.0,27.0,51.0
Policy-related Living Allowance,Policy-related Living Allowance,55,57,70,66,69,71,37.0,34.0,70.0
Reimbursed medical expenses,Reimbursed medical expenses,366,427,11,445,500,16,226.0,293.0,3.0
Outgoing employed personnel's income sent back and brought back,Outgoing employed personnel's income sent back and brought back,544,556,34,540,618,27,549.0,441.0,47.0
Maintenance Income,Maintenance Income,558,535,481,487,405,597,685.0,777.0,262.0
Other regular transfer income,Other regular transfer income,80,97,467,93,105,469,55.0,83.0,462.0
Transfer Expenditure,Transfer Expenditure,2666,2659,2854,3111,3100,3304,1864.0,1841.0,1996.0
Personal income tax,Personal income tax,125,147,233,188,221,338,11.0,9.0,32.0
Social Security Expenditure,Social Security Expenditure,2293,2223,2340,2585,2504,2610,1769.0,1703.0,1826.0
Expenditure by migrant workers on their families,Expenditure by migrant workers on their families,25,39,17,33,29,19,11.0,56.0,14.0
Maintenance expenditure,Maintenance expenditure,115,140,172,158,200,224,37.0,29.0,74.0
Other regular transfer expenditures,Other regular transfer expenditures,107,110,92,146,145,113,35.0,44.0,50.0
