队号-队号,队员一-性别,队员一-特长,队员一-专业,队员一-年级,队员一-参赛经历,队员一-专业排名,队员二-性别,队员二-特长,队员二-专业,队员二-年级,队员二-参赛经历,队员二-专业排名,队员三-性别,队员三-特长,队员三-专业,队员三-年级,队员三-参赛经历,队员三-专业排名
1,女,写作,安全,2,0,11/93,女,编程,安全,2,1,16/93,男,建模,机械电子,1,0,22/77
2,男,编程,土木,2,1,1/310,男,建模,电科,1,0,1/50,男,写作,机制,3,2,2/68
3,男,建模,材成,1,0,40/60,女,写作,材成,2,1,20/58,男,编程,材成,2,2,23/58
4,男,写作,城地,3,0,35/68,男,建模,工程,3,0,51/80,女,编程,智能,3,1,22/63
5,女,建模,应数,1,0,30/59,男,编程,电气,3,1,6/91,女,写作,机电,2,1,5/60
6,男,建模,给排水,2,1,30/121,女,编程,通信,3,0,17/108,女,写作,给排水,1,0,36/122
7,男,编程,大数据,1,0,8/58,男,写作,工程管理,3,0,28/37,男,建模,化工,3,1,17/76
8,女,建模,应数,2,0,42/60,女,编程,应数,3,1,8/45,女,写作,应数,2,0,26/60
9,男,编程,计算机,2,1,1/123,女,建模,材料,3,0,48/119,女,写作,智能,3,0,9/63
10,男,编程,材卓,1,0,20/50,女,写作,材科,3,0,3/105,男,建模,材卓,2,0,2/56
11,女,写作,材成,2,1,4/58,男,编程,计算机,3,0,11/128,女,建模,金属,3,1,18/40
12,男,写作,化工,3,0,28/76,男,建模,化工,2,1,3/78,男,编程,功能,3,1,14/65
13,男,编程,土木,1,0,15/300,女,写作,应数,2,0,5/60,女,建模,建环,1,0,9/121
14,男,建模,采矿,2,1,21/118,男,写作,材成,2,1,12/60,男,编程,应数,2,0,28/60
15,女,建模,应数,2,0,16/60,男,编程,电科,2,1,14/51,女,写作,电气,3,2,3/91
16,女,建模,通信,3,1,22/108,女,编程,通信,3,0,32/108,女,写作,材应,1,0,26/125
17,男,编程,材料,1,0,18/120,男,建模,智能,1,0,5/60,男,写作,电气,2,1,10/92
18,男,建模,土木,2,1,35/300,男,写作,土木,1,0,8/300,男,编程,土木,3,1,97/308
19,男,编程,智能,2,1,12/65,男,建模,智能,1,0,1/60,男,写作,智能,2,0,30/65
20,男,写作,工程管理,2,0,1/36,男,编程,工程,2,0,10/85,男,建模,工程,3,1,9/80
21,女,建模,大数据,2,0,22/60,男,编程,通信,1,0,80/102,女,写作,大数据,1,0,33/58
22,男,写作,机制,2,1,9/62,男,编程,新能源,1,0,18/63,女,建模,电气,2,1,1/92
23,男,建模,给排水,2,0,40/121,女,写作,给排水,1,0,15/122,男,编程,计算机,3,2,59/128
24,女,写作,给排水,1,0,20/122,男,编程,土木,1,0,5/300,男,建模,土木,2,0,8/310
25,男,建模,应数,2,0,33/60,女,写作,材卓,2,1,6/56,男,编程,应数,2,0,20/60
26,女,写作,材科,1,0,11/120,女,建模,材应,3,0,19/122,男,编程,计算机,2,0,24/123
27,女,写作,电科,1,0,24/50,男,建模,电科,2,0,2/51,男,编程,通信,1,0,34/102
28,女,建模,应数,2,1,20/60,男,编程,自动化,2,1,1/69,女,写作,智能,2,1,1/65
29,女,写作,功能,1,0,1/66,女,建模,自动化,2,0,40/69,女,编程,计算机,3,0,69/128
30,女,建模,应数,2,1,7/60,男,编程,化工,2,1,57/78,男,写作,环科,2,0,12/42
31,男,编程,通信,2,1,50/115,女,写作,土木,1,0,2/300,男,建模,土木,1,0,25/300
32,女,写作,会计,3,0,2/148,男,编程,智能,1,0,12/60,男,建模,应数,3,0,16/45
33,女,写作,管科,3,1,66/151,男,建模,电气,2,0,12/89,男,编程,机械类,1,0,5/75
34,男,建模,材料,3,0,84/119,男,编程,材料,3,1,79/119,女,写作,材料,1,0,37/120
35,女,编程,计算机,2,0,23/123,女,写作,计算机,1,0,70/120,女,建模,应数,2,1,7/60
36,男,写作,工程管理,3,1,2/37,男,建模,工程管理,3,1,10/37,女,编程,计算机,3,1,1/128
37,女,建模,电科,2,0,1/51,男,写作,计算机,3,1,3/128,男,编程,计算机,3,1,34/128
38,女,写作,通信,3,0,9/108,女,建模,通信,3,0,31/108,男,编程,计算机,2,1,2/123
39,女,建模,给排水,2,1,95/121,女,写作,信管,3,1,24/91,男,编程,机械电子,1,0,38/77
40,男,编程,计算机,2,1,60/123,男,建模,计算机,3,1,72/128,女,写作,计算机,1,0,50/120
41,男,建模,智能,2,1,41/65,女,写作,建环,2,0,60/120,男,编程,材料,3,1,49/119
42,男,写作,给排水,1,0,8/122,男,建模,给排水,3,0,2/125,男,编程,土木,3,0,2/308
43,男,建模,城地,3,0,8/68,男,编程,自动化,3,0,37/67,男,写作,城地,2,0,4/60
44,女,写作,建环,1,0,30/121,女,建模,建环,2,1,33/120,男,编程,通信,1,0,54/102
45,女,写作,交通工程,3,1,13/96,男,编程,电气,1,0,74/92,男,建模,计算机,3,0,2/128
46,男,建模,智能,2,1,8/65,男,编程,应化,2,0,15/41,女,写作,给排水,3,1,65/125
47,女,建模,应数,1,0,11/59,男,编程,计算机,1,0,56/120,女,写作,计算机,3,1,61/128
48,男,写作,材成,1,0,28/60,男,编程,材成,2,0,46/60,男,建模,材成,2,0,36/58
49,男,建模,应数,1,0,25/59,男,编程,应数,3,1,30/45,男,写作,应数,1,0,50/59
50,女,建模,应数,1,0,29/59,女,写作,工程,3,1,56/80,男,编程,机械类,2,1,7/78
51,男,编程,机械电子,1,0,5/77,女,建模,给排水,1,0,6/122,女,写作,机械电子,1,0,2/77
52,女,写作,材应,1,0,32/125,女,建模,应数,2,1,23/60,女,编程,应数,1,0,28/59
53,男,建模,计算机,1,0,2/120,男,编程,计算机,1,0,10/120,男,写作,计算机,2,1,18/123
54,男,写作,工商,2,0,47/52,男,建模,化工,1,0,62/75,男,编程,电科,3,0,3/50
55,女,写作,环科,2,0,1/42,男,建模,给排水,1,0,10/122,男,编程,电子信息,1,0,31/85
56,男,写作,计算机,3,1,53/128,男,编程,计算机,3,1,9/128,男,建模,计算机,1,0,26/120
57,男,建模,电气,2,0,45/92,女,写作,电气,1,0,7/92,男,编程,电气,2,0,23/92
58,男,建模,计算机,1,0,1/120,男,编程,计算机,2,1,22/123,女,写作,给排水,3,0,9/125
59,男,建模,应数,2,0,1/60,女,编程,计算机,2,0,5/123,女,写作,计算机,3,0,17/128
60,男,编程,通信,3,0,32/108,男,写作,化工,2,1,4/78,男,建模,化工,2,1,14/78
61,女,建模,材料,2,0,20/128,女,写作,电气,3,1,13/91,男,编程,管科,3,0,15/153
62,女,写作,给排水,1,0,28/122,男,编程,应数,2,0,7/60,男,建模,智能,3,1,7/63
63,男,建模,大数据,1,0,5/58,男,编程,工程力学,3,1,1/45,男,写作,化工,2,1,6/78
64,女,写作,材成,1,0,20/60,男,建模,力学,1,0,6/30,男,编程,电气,2,1,50/92
65,男,建模,计算机,1,0,29/120,男,编程,计算机,2,1,11/123,男,写作,计算机,1,0,52/120
66,女,写作,给排水,3,1,30/125,男,建模,给排水,1,0,28/122,男,编程,给排水,3,1,14/125
67,女,编程,工程,3,0,32/80,女,写作,土木,2,0,8/310,女,建模,土木,3,1,35/308
68,男,写作,机制,2,1,2/62,男,建模,机制,2,0,1/62,女,编程,通信,3,1,20/108
69,男,建模,土木,3,0,23/308,男,编程,土木,2,1,127/310,女,写作,材卓,1,0,1/50
70,男,建模,大数据,1,0,1/58,男,编程,工程,3,0,22/80,女,写作,建环,3,1,4/126
71,男,编程,环工,2,0,10/45,女,建模,给排水,3,1,3/125,女,写作,应数,3,0,44/45
72,男,建模,通信,1,0,56/102,女,写作,通信,2,1,26/115,男,编程,安全,3,2,17/87
73,男,编程,土木,3,0,10/308,女,建模,给排水,2,1,7/121,女,写作,给排水,1,0,1/122
74,女,建模,材成,3,1,10/63,女,写作,建环,1,0,20/121,女,编程,计算机,1,0,19/120
75,男,建模,应数,1,0,21/59,女,写作,应数,1,0,16/59,女,编程,计算机,2,1,41/123
76,女,编程,应化,3,1,1/46,女,写作,应化,3,1,5/46,男,建模,应化,3,0,9/46
