财产保险公司经营情况表-45689-项目,财产保险公司经营情况表-45689-单位:万元-本年累计/截至当期
原保险保费收入,596794
其中：企业财产保险,35013
家庭财产保险,6019
机动车辆保险,292893
工程保险,2186
责任保险,34596
保证保险,13075
农业保险,37386
健康险,150291
意外险,18253
赔款支出,349529
保险金额,1821429062
其中：机动车辆保险,330091494
责任险,89642042
农业保险,1736193
总资产,2267262
注：1.本表数据是保险业执行《关于印发<保险合同相关会计处理规定〉的通知》（财会[2009]15号）后，各保险公司按照相关口径要求报送的汇总数据。,注：1.本表数据是保险业执行《关于印发<保险合同相关会计处理规定〉的通知》（财会[2009]15号）后，各保险公司按照相关口径要求报送的汇总数据。
2.上述数据来源于各公司报送的保险汇总数据，未经审计。,
3.原保险保费收入、赔款支出、保险金额为本年累计数，总资产为月末数据。,    3.原保险保费收入、赔款支出、保险金额为本年累计数，总资产为月末数据。
