山西保险业经营情况表-45689,山西保险业经营情况表-45689-单位:万元,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
项目,本年累计/截至当期,,,,
原保险保费收入,3224951,,,,
1.财产险,428250,,,,
2.人身险,2796701,,,,
（1）寿险,2265365,,,,
（2）健康险,493054,,,,
（3）人身意外伤害险,38282,,,,
原保险赔付支出,1258411,,,,
1.财产险,299258,,,,
2.人身险,959153,,,,
（1）寿险,807390,,,,
（2）健康险,140839,,,,
（3）人身意外伤害险,10924,,,,
总资产,36595458,,,,
注：1.本表数据是保险业执行《关于印发<保险合同相关会计处理规定〉的通知》（财会[2009]15号）后，各保险公司按照相关口径要求报送的数据。,注：1.本表数据是保险业执行《关于印发<保险合同相关会计处理规定〉的通知》（财会[2009]15号）后，各保险公司按照相关口径要求报送的数据。,,,,
2.上述数据来源于各公司报送的保险数据，未经审计。,,,,,
3.原保险保费收入、原保险赔付支出为本年累计数，总资产为月末数据。,    3.原保险保费收入、原保险赔付支出为本年累计数，总资产为月末数据。,    3.原保险保费收入、原保险赔付支出为本年累计数，总资产为月末数据。,    3.原保险保费收入、原保险赔付支出为本年累计数，总资产为月末数据。,    3.原保险保费收入、原保险赔付支出为本年累计数，总资产为月末数据。,    3.原保险保费收入、原保险赔付支出为本年累计数，总资产为月末数据。
