7-3全国按现住地、职业和性别分的户口登记地在外省人口-现住地-现住地-现住地,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-合计-合计-合计,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-合计-合计-男,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-合计-合计-女,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-党的机关、国家机关、群众团体-和社会组织、企事业单位负责人-小计,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-党的机关、国家机关、群众团体-和社会组织、企事业单位负责人-男,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-党的机关、国家机关、群众团体-和社会组织、企事业单位负责人-女,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-专业技术人员-专业技术人员-小计,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-专业技术人员-专业技术人员-男,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-专业技术人员-专业技术人员-女,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-办事人员和有关人员-办事人员和有关人员-小计,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-办事人员和有关人员-办事人员和有关人员-男,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-办事人员和有关人员-办事人员和有关人员-女,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-社会生产服务和生活服务人员-社会生产服务和生活服务人员-小计,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-社会生产服务和生活服务人员-社会生产服务和生活服务人员-男,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-社会生产服务和生活服务人员-社会生产服务和生活服务人员-女,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-农、林、牧、渔业-生产及辅助人员-小计,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-农、林、牧、渔业-生产及辅助人员-男,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-农、林、牧、渔业-生产及辅助人员-女,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-生产制造及有关人员-生产制造及有关人员-小计,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-生产制造及有关人员-生产制造及有关人员-男,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-生产制造及有关人员-生产制造及有关人员-女,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-不便分类的其他从业人员-不便分类的其他从业人员-小计,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-不便分类的其他从业人员-不便分类的其他从业人员-男,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-不便分类的其他从业人员-不便分类的其他从业人员-女
,,,,,,,,,,,,,,,,,,,,,,,,
全    国,8255720.0,5266672.0,2989048.0,210649.0,159805.0,50844.0,733798.0,405178.0,328620.0,391263.0,225991.0,165272.0,3130123.0,1888061.0,1242062.0,129332.0,72033.0,57299.0,3648610.0,2507874.0,1140736.0,11945.0,7730.0,4215.0
,,,,,,,,,,,,,,,,,,,,,,,,
北    京,507929.0,298533.0,209396.0,18224.0,12602.0,5622.0,103232.0,47115.0,56117.0,47586.0,24014.0,23572.0,263979.0,153771.0,110208.0,3434.0,2142.0,1292.0,71148.0,58703.0,12445.0,326.0,186.0,140.0
天    津,121642.0,80490.0,41152.0,4875.0,3571.0,1304.0,10480.0,5673.0,4807.0,8649.0,5161.0,3488.0,50558.0,30386.0,20172.0,1444.0,897.0,547.0,44312.0,33895.0,10417.0,1324.0,907.0,417.0
河    北,126602.0,81079.0,45523.0,4774.0,3687.0,1087.0,13712.0,7225.0,6487.0,7459.0,4478.0,2981.0,55480.0,32947.0,22533.0,3365.0,1470.0,1895.0,41419.0,31023.0,10396.0,393.0,249.0,144.0
山    西,63827.0,48915.0,14912.0,2334.0,1903.0,431.0,4823.0,3177.0,1646.0,3016.0,2095.0,921.0,22511.0,14639.0,7872.0,1163.0,637.0,526.0,29824.0,26356.0,3468.0,156.0,108.0,48.0
内 蒙 古,93816.0,68100.0,25716.0,2514.0,2027.0,487.0,7438.0,4917.0,2521.0,4225.0,2967.0,1258.0,40059.0,25060.0,14999.0,3886.0,2206.0,1680.0,35475.0,30769.0,4706.0,219.0,154.0,65.0
,,,,,,,,,,,,,,,,,,,,,,,,
辽    宁,128342.0,79540.0,48802.0,3948.0,2865.0,1083.0,9608.0,4761.0,4847.0,5118.0,3111.0,2007.0,60209.0,34561.0,25648.0,7639.0,4505.0,3134.0,41098.0,29268.0,11830.0,722.0,469.0,253.0
吉    林,38103.0,23724.0,14379.0,964.0,745.0,219.0,4294.0,2115.0,2179.0,2400.0,1457.0,943.0,19331.0,11233.0,8098.0,2553.0,1230.0,1323.0,8539.0,6928.0,1611.0,22.0,16.0,6.0
黑 龙 江,25178.0,15952.0,9226.0,1118.0,841.0,277.0,2468.0,1279.0,1189.0,1537.0,998.0,539.0,12054.0,6938.0,5116.0,2506.0,1421.0,1085.0,5403.0,4413.0,990.0,92.0,62.0,30.0
,,,,,,,,,,,,,,,,,,,,,,,,
上    海,737762.0,446269.0,291493.0,25345.0,18679.0,6666.0,108039.0,52659.0,55380.0,49904.0,25804.0,24100.0,355630.0,205600.0,150030.0,5486.0,3253.0,2233.0,192828.0,139956.0,52872.0,530.0,318.0,212.0
江    苏,705765.0,447326.0,258439.0,18008.0,13688.0,4320.0,50049.0,28983.0,21066.0,23498.0,12769.0,10729.0,244328.0,144737.0,99591.0,8695.0,4784.0,3911.0,359867.0,241569.0,118298.0,1320.0,796.0,524.0
浙    江,1468958.0,927836.0,541122.0,18250.0,14009.0,4241.0,68204.0,39993.0,28211.0,27127.0,17054.0,10073.0,452897.0,277507.0,175390.0,11874.0,7907.0,3967.0,889943.0,570929.0,319014.0,663.0,437.0,226.0
