1-1-55全国按经营耕地规模和主要农业行业分的农业生产经营单位农业从业人员数量-名称,单位：人-合计,农作物种植业,林业,畜牧业,渔业,农林牧渔服务业
,,,,,,
合  计,6824418.0,2612300.0,1566191.0,664023.0,653160.0,1328744.0
0亩,4070976.0,698866.0,1015140.0,519841.0,588243.0,1248886.0
0.1-5亩,82596.0,28125.0,17072.0,16344.0,7992.0,13063.0
5.1-10亩,44394.0,19137.0,7764.0,8869.0,2774.0,5850.0
10.1-15亩,25954.0,12366.0,4248.0,4650.0,1375.0,3315.0
15.1-20亩,32823.0,16206.0,6004.0,5367.0,2022.0,3224.0
20.1-25亩,13807.0,7634.0,2675.0,1804.0,705.0,989.0
25.1-30亩,27749.0,15867.0,4940.0,3204.0,1070.0,2668.0
30.1-35亩,12078.0,6917.0,2990.0,878.0,496.0,797.0
35.1-40亩,20851.0,12555.0,3918.0,2639.0,578.0,1161.0
40.1-45亩,10232.0,5542.0,2848.0,1009.0,346.0,487.0
45.1-50亩,33376.0,21798.0,5207.0,2925.0,1222.0,2224.0
50.1-55亩,8038.0,5393.0,1530.0,552.0,277.0,286.0
55.1-60亩,18870.0,12073.0,2827.0,2045.0,574.0,1351.0
60.1-65亩,8837.0,5188.0,2397.0,469.0,415.0,368.0
65.1-70亩,13407.0,8259.0,2820.0,1014.0,311.0,1003.0
70.1-75亩,8363.0,5888.0,1491.0,473.0,215.0,296.0
75.1-80亩,20253.0,12139.0,4325.0,1849.0,1145.0,795.0
80.1-85亩,6045.0,4187.0,1293.0,287.0,113.0,165.0
85.1-90亩,11979.0,7236.0,2865.0,886.0,301.0,691.0
90.1-95亩,3313.0,2638.0,373.0,136.0,12.0,154.0
95.1-100亩,31314.0,18187.0,6596.0,3984.0,578.0,1969.0
100.1-150亩,91777.0,60796.0,15911.0,7009.0,3923.0,4138.0
150.1-200亩,84113.0,57024.0,15405.0,5617.0,2533.0,3534.0
200.1-250亩,54570.0,34905.0,12896.0,2809.0,1483.0,2477.0
250.1-300亩,61170.0,39025.0,11788.0,4985.0,2533.0,2839.0
300.1-400亩,94082.0,65850.0,18193.0,3871.0,2959.0,3209.0
400.1-500亩,73385.0,50280.0,14301.0,3528.0,2668.0,2608.0
500.1-1000亩,219378.0,152535.0,42082.0,13601.0,5916.0,5244.0
1000.1-5000亩,558005.0,342463.0,175578.0,21590.0,10742.0,7632.0
5000亩以上,1082683.0,883221.0,160714.0,21788.0,9639.0,7321.0
