表5-7湖南省按性别、企业类型、参加社会保险情况分的就业人口-企业类别-企业类别-企业类别,表5-7湖南省按性别、企业类型、参加社会保险情况分的就业人口-就业人口-就业人口-（1）,表5-7湖南省按性别、企业类型、参加社会保险情况分的就业人口-失业保险-参加-（2）,表5-7湖南省按性别、企业类型、参加社会保险情况分的就业人口-失业保险-未参加-（3）,表5-7湖南省按性别、企业类型、参加社会保险情况分的就业人口-基本养老保险-参加-（4）,表5-7湖南省按性别、企业类型、参加社会保险情况分的就业人口-基本养老保险-未参加-（5）,表5-7湖南省按性别、企业类型、参加社会保险情况分的就业人口-单位：人-基本医疗保险-参加-（6）,表5-7湖南省按性别、企业类型、参加社会保险情况分的就业人口-单位：人-基本医疗保险-未参加-（7）
总计,89895,9846,80049,18449,71446,22402,67493
国有及国有控股企业,12102,6603,5499,9432,2670,8458,3644
集体企业,4645,875,3770,1765,2880,1593,3052
个体工商户,41749,783,40966,3374,38375,5658,36091
私营企业,27424,1088,26336,2984,24440,5512,21912
其他类型单位,3975,497,3478,894,3081,1181,2794
男合计,53247,6148,47099,11480,41767,13782,39465
国有及国有控股企业,7770,4230,3540,5999,1771,5364,2406
集体企业,3073,489,2584,1068,2005,984,2089
个体工商户,23999,466,23533,1992,22007,3364,20635
私营企业,15787,661,15126,1887,13900,3338,12449
其他类型单位,2618,302,2316,534,2084,732,1886
女合计,36648,3698,32950,6969,29679,8620,28028
国有及国有控股企业,4332,2373,1959,3433,899,3094,1238
集体企业,1572,386,1186,697,875,609,963
个体工商户,17750,317,17433,1382,16368,2294,15456
私营企业,11637,427,11210,1097,10540,2174,9463
其他类型单位,1357,195,1162,360,997,449,908
