6-4-2各地区山区乡镇按法人单位类型分的主营农业法人单位个数-地区,单位：个-合计,主营农业的单产业法人单位数,主营农业的多产业法人单位数,主营农业的未注册单位数
,,,,
,,,,
全国总计,56103.0,29517.0,1541.0,25045.0
北    京,330.0,299.0,8.0,23.0
天    津,9.0,9.0,,
河    北,1228.0,667.0,22.0,539.0
山    西,1267.0,1074.0,17.0,176.0
内 蒙 古,320.0,227.0,46.0,47.0
辽    宁,1746.0,1006.0,25.0,715.0
吉    林,924.0,531.0,45.0,348.0
黑 龙 江,607.0,411.0,73.0,123.0
上    海,,,,
江    苏,28.0,26.0,,2.0
浙    江,2687.0,1428.0,40.0,1219.0
安    徽,1390.0,590.0,70.0,730.0
福    建,9104.0,2097.0,113.0,6894.0
江    西,1810.0,844.0,47.0,919.0
山    东,578.0,250.0,6.0,322.0
河    南,1755.0,491.0,32.0,1232.0
湖    北,3401.0,1538.0,129.0,1734.0
湖    南,2862.0,1858.0,50.0,954.0
广    东,3258.0,1086.0,36.0,2136.0
广    西,2475.0,1447.0,117.0,911.0
海    南,352.0,115.0,43.0,194.0
重    庆,1007.0,791.0,45.0,171.0
四    川,3947.0,2830.0,103.0,1014.0
贵    州,4405.0,2587.0,115.0,1703.0
云    南,4398.0,3174.0,113.0,1111.0
西    藏,126.0,32.0,12.0,82.0
陕    西,1985.0,1191.0,65.0,729.0
甘    肃,1909.0,1282.0,87.0,540.0
青    海,1594.0,1215.0,49.0,330.0
宁    夏,146.0,127.0,1.0,18.0
新    疆,455.0,294.0,32.0,129.0
东部地区,17574.0,5977.0,268.0,11329.0
中部地区,12485.0,6395.0,345.0,5745.0
西部地区,22767.0,15197.0,785.0,6785.0
东北地区,3277.0,1948.0,143.0,1186.0
