山东省1978-2017年全社会固定资产投资总额-TotalInvestmentsinFixedAssetsfrom1978to2017-单位:亿元-年份Year-年份Year-年份Year,山东省1978-2017年全社会固定资产投资总额-TotalInvestmentsinFixedAssetsfrom1978to2017-全社会固定资产投资额TotalInvestment-全社会固定资产投资额TotalInvestment-全社会固定资产投资额TotalInvestment,山东省1978-2017年全社会固定资产投资总额-TotalInvestmentsinFixedAssetsfrom1978to2017-国有经济State-ownedUnits-国有经济State-ownedUnits,山东省1978-2017年全社会固定资产投资总额-TotalInvestmentsinFixedAssetsfrom1978to2017-集体经济Collective-ownedUnits-集体经济Collective-ownedUnits,山东省1978-2017年全社会固定资产投资总额-TotalInvestmentsinFixedAssetsfrom1978to2017-#城镇Urban,山东省1978-2017年全社会固定资产投资总额-TotalInvestmentsinFixedAssetsfrom1978to2017-个体经济Self-employedUnits-个体经济Self-employedUnits,山东省1978-2017年全社会固定资产投资总额-TotalInvestmentsinFixedAssetsfrom1978to2017-#农村Rural,山东省1978-2017年全社会固定资产投资总额-TotalInvestmentsinFixedAssetsfrom1978to2017-(100millionyuan)-其他经济Others-其他经济Others
"年  份


Year","全社会
固定资产
投资额

Total 
Investment","国有经济

State-owned
Units","集体经济

Collective-
owned Units","#城 镇

  Urban","个体经济

Self-employed
Units","#农 村

  Rural","其他经济


Others"
"年  份


Year","全社会
固定资产
投资额

Total 
Investment","国有经济

State-owned
Units","集体经济

Collective-
owned Units","#城 镇

  Urban","个体经济

Self-employed
Units","#农 村

  Rural","其他经济


Others"
"年  份


Year","全社会
固定资产
投资额

Total 
Investment","国有经济

State-owned
Units","集体经济

Collective-
owned Units","#城 镇

  Urban","个体经济

Self-employed
Units","#农 村

  Rural","其他经济


Others"
,,,,,,,
1978,42,29,8,2,4,4,
1979,61,32,19,2,11,10,
1980,70,36,22,3,12,11,
1981,80,30,32,3,18,17,
1982,85,43,23,4,18,17,
1983,96,49,19,4,28,26,
1984,140,67,25,5,48,44,
1985,194,100,30,9,64,59,
1986,223,122,43,12,58,52,
1987,298,156,79,18,63,56,
1988,370,192,101,35,77,65,
1989,306,162,70,20,74,62,
1990,336,185,72,19,79,67,
1991,440,234,105,25,101,86,
1992,602,343,186,42,72,54,
1993,892,476,246,50,105,83,65
1994,1108,538,318,56,118,92,134
1995,1321,612,384,52,141,113,185
1996,1558,692,485,80,203,166,179
1997,1792,773,570,60,242,199,207
1998,2057,939,610,67,274,227,234
1999,2222,1043,636,83,311,228,233
2000,2543,1154,679,109,354,254,356
2001,2808,1157,689,135,384,263,578
2002,3509,1237,813,197,487,286,972
2003,5328,1616,1177,322,734,296,1802
2004,7629,1762,2456,384,772,116,2639
2005,10542,1853,1042,620,2737,1492,4910
2006,11136,1855,1064,713,3097,1186,5120
2007,12537,1839,1270,857,3566,1141,5862
2008,15436,2432,1811,1333,4361,1304,6832
2009,19031,3087,2309,1718,5235,1587,8400
2010,23277,3648,2627,1841,6505,1823,10496
2011,26770,3783,2715,,8235,,12037
2012,31256,3950,3129,0,9880,0,14297
2013,36789,4757,3113,,12828,,16091
2014,42496,5456,3380,,16215,,17444
2015,48312,6305,3126,,20269,,18613
2016,53322,7497,1545,,22191,,22088
2017,55203,9568,1497,,22329,,21809
,,,,,,,
,,,,,,,
注:1.2011年起，集体经济和个体经济不再细分城镇和农村(下表同)。,,,,,,,
2.2011年起，固定资产投资项目统计起点由50万元提高到500万元，名称统一规范为“固定资产投资”，其中包括城镇、非农户500万,,,,,,,
元及以上项目投资和房地产开发投资；“全社会固定资产投资”包括“固定资产投资加农户固定资产投资”(下表同)。,,,,,,,
a)Collective-owned Units and Self-employed Units had no longer divided into urban and rural unit since 2011.(The same applies to tables following).,,,,,,,
"b)Since 2011, the statistical criteria of  fixed assets investment projects had been increased from 500 thousand to 5 million yuan. Investment in fixed",,,,,,,
"assets include urban area and non-farmers 5 million and above project investments, real estate development and investment.Total investment  include",,,,,,,
investment in fixed assets and farmer investment in fixed assets.(The same applies to tables following).,,,,,,,
