6-13Averagenumberoflivebirthsandaveragenumberofsurvivingchildrenamongwomenaged15-64inthecountrybylevelofeducation-Levelofeducation-Levelofeducation-Levelofeducation,"6-13Averagenumberoflivebirthsandaveragenumberofsurvivingchildrenamongwomenaged15-64inthecountrybylevelofeducation-Unit:person,%-15-64-year-oldNumberofwomen-15-64-year-oldNumberofwomen-15-64-year-oldNumberofwomen","6-13Averagenumberoflivebirthsandaveragenumberofsurvivingchildrenamongwomenaged15-64inthecountrybylevelofeducation-Unit:person,%-Totalnumberoflivebirths-Total-Total","6-13Averagenumberoflivebirthsandaveragenumberofsurvivingchildrenamongwomenaged15-64inthecountrybylevelofeducation-Unit:person,%-Totalnumberoflivebirths-Male-Male","6-13Averagenumberoflivebirthsandaveragenumberofsurvivingchildrenamongwomenaged15-64inthecountrybylevelofeducation-Unit:person,%-Totalnumberoflivebirths-Female-Female","6-13Averagenumberoflivebirthsandaveragenumberofsurvivingchildrenamongwomenaged15-64inthecountrybylevelofeducation-Unit:person,%-Totalnumberofsurvivingchildren-Total-Total","6-13Averagenumberoflivebirthsandaveragenumberofsurvivingchildrenamongwomenaged15-64inthecountrybylevelofeducation-Unit:person,%-Totalnumberofsurvivingchildren-Male-Male","6-13Averagenumberoflivebirthsandaveragenumberofsurvivingchildrenamongwomenaged15-64inthecountrybylevelofeducation-Unit:person,%-Totalnumberofsurvivingchildren-Female-Female","6-13Averagenumberoflivebirthsandaveragenumberofsurvivingchildrenamongwomenaged15-64inthecountrybylevelofeducation-Unit:person,%-Numberofsurvivingchildren-Proportionoflive-bornchildren-percentageoflivebirths","6-13Averagenumberoflivebirthsandaveragenumberofsurvivingchildrenamongwomenaged15-64inthecountrybylevelofeducation-Unit:person,%-Women'saverage-Averagenumberoflivebirths-Numberofchildren","6-13Averagenumberoflivebirthsandaveragenumberofsurvivingchildrenamongwomenaged15-64inthecountrybylevelofeducation-Unit:person,%-Women'saverage-Averagenumberofsurvivingchildren-Numberofchildren"
,,,,,,,,,,
Total,46789337.0,61997759.0,33580566.0,28417193.0,60474058.0,32645604.0,27828454.0,97.54,1.33,1.29
Never attended school,926652.0,2054584.0,1119220.0,935364.0,1978870.0,1071850.0,907020.0,96.31,2.22,2.14
Preschool education,31824.0,57491.0,31813.0,25678.0,55587.0,30621.0,24966.0,96.69,1.81,1.75
Primary School,7958864.0,15703601.0,8580378.0,7123223.0,15251409.0,8296653.0,6954756.0,97.12,1.97,1.92
Junior Middle School,18219818.0,28245063.0,15304921.0,12940142.0,27594536.0,14905784.0,12688752.0,97.7,1.55,1.51
High school,8962313.0,8442838.0,4552430.0,3890408.0,8254937.0,4440003.0,3814934.0,97.77,0.94,0.92
College (junior college),5362227.0,4189036.0,2238446.0,1950590.0,4098934.0,2185455.0,1913479.0,97.85,0.78,0.76
Bachelor's degree,4766962.0,2984438.0,1585310.0,1399128.0,2924799.0,1550492.0,1374307.0,98.0,0.63,0.61
Master's degree holders,507936.0,287581.0,150779.0,136802.0,282472.0,147837.0,134635.0,98.22,0.57,0.56
Doctorate degree holders,52741.0,33127.0,17269.0,15858.0,32514.0,16909.0,15605.0,98.15,0.63,0.62
