13-7港口集装箱吞吐量-ContainerPortTraffic-资料来源：世界银行WDI数据库。-Source:WorldBankWDIDatabase.-单位：万标准集装箱,13-7港口集装箱吞吐量-ContainerPortTraffic,13-7港口集装箱吞吐量-ContainerPortTraffic.1,13-7港口集装箱吞吐量-ContainerPortTraffic.2,13-7港口集装箱吞吐量-ContainerPortTraffic.3,13-7港口集装箱吞吐量-ContainerPortTraffic.4,13-7港口集装箱吞吐量-ContainerPortTraffic.5,13-7港口集装箱吞吐量-ContainerPortTraffic.6,13-7港口集装箱吞吐量-ContainerPortTraffic-(10000TEUs)
国家或地区,Country or Area,2000.0,2010.0,2015.0,2018.0,2019.0,2020.0,2021.0
,,,,,,,,
世    界,World,22477.0,54989.0,68789.0,78790.0,80880.0,79415.0,84064.0
高收入国家,High Income,14663.0,28194.0,32406.0,35882.0,36346.0,35357.0,37253.0
中等收入国家,Middle Income,7723.0,26469.0,36040.0,42484.0,44135.0,43777.0,46526.0
中    国,China,4100.0,14055.0,19984.0,23462.0,24356.0,24604.0,26261.0
中国香港,"Hong Kong SAR, China",2370.0,2011.0,1964.0,1836.0,1795.0,1777.0,
孟加拉国,Bangladesh,46.0,136.0,207.0,295.0,315.0,290.0,327.0
文    莱,Brunei Darussalam,9.0,10.0,11.0,12.0,11.0,,
柬 埔 寨,Cambodia,22.0,39.0,54.0,63.0,60.0,,
印    度,India,245.0,924.0,1232.0,1700.0,1749.0,1758.0,1994.0
印度尼西亚,Indonesia,380.0,784.0,958.0,1203.0,1211.0,1117.0,1180.0
伊    朗,Iran,297.0,218.0,237.0,150.0,125.0,155.0,
以 色 列,Israel,228.0,252.0,295.0,292.0,299.0,313.0,
日    本,Japan,1310.0,1994.0,2109.0,2342.0,2328.0,2156.0,2220.0
韩    国,"Korea, Rep.",903.0,1938.0,2548.0,2887.0,2896.0,2883.0,2979.0
马来西亚,Malaysia,464.0,1813.0,2401.0,2496.0,2622.0,2667.0,2826.0
缅    甸,Myanmar,34.0,83.0,104.0,112.0,102.0,109.0,
巴基斯坦,Pakistan,222.0,271.0,325.0,315.0,316.0,355.0,
菲 律 宾,Philippines,303.0,505.0,707.0,870.0,917.0,787.0,849.0
新 加 坡,Singapore,1710.0,2843.0,3092.0,3660.0,3720.0,3687.0,3747.0
斯里兰卡,Sri Lanka,173.0,412.0,519.0,700.0,723.0,685.0,725.0
泰    国,Thailand,318.0,718.0,888.0,1037.0,1013.0,957.0,1044.0
越    南,Viet Nam,119.0,643.0,1062.0,1339.0,1530.0,1639.0,1836.0
埃    及,Egypt,163.0,607.0,584.0,595.0,670.0,681.0,732.0
尼日利亚,Nigeria,116.0,154.0,156.0,163.0,155.0,157.0,
南    非,South Africa,185.0,399.0,466.0,489.0,453.0,408.0,442.0
加 拿 大,Canada,293.0,467.0,583.0,676.0,700.0,630.0,717.0
墨 西 哥,Mexico,132.0,370.0,542.0,698.0,711.0,649.0,785.0
美    国,United States,2830.0,4025.0,4640.0,5304.0,5426.0,5293.0,6055.0
阿 根 廷,Argentina,114.0,201.0,173.0,218.0,183.0,171.0,179.0
巴    西,Brazil,241.0,722.0,926.0,1006.0,1070.0,1045.0,1180.0
委内瑞拉,Venezuela,67.0,107.0,73.0,59.0,18.0,,
法    国,France,292.0,392.0,446.0,505.0,499.0,444.0,552.0
德    国,Germany,770.0,1306.0,1503.0,1509.0,1503.0,1395.0,1472.0
意 大 利,Italy,692.0,976.0,1021.0,1062.0,1079.0,1070.0,1130.0
荷    兰,Netherlands,641.0,1133.0,1240.0,1480.0,1520.0,1476.0,1578.0
波    兰,Poland,105.0,186.0,283.0,305.0,292.0,319.0,
俄 罗 斯,Russia,32.0,332.0,366.0,473.0,497.0,492.0,526.0
西 班 牙,Spain,579.0,1250.0,1429.0,1717.0,1746.0,1675.0,1771.0
土 耳 其,Turkey,159.0,574.0,814.0,1080.0,1159.0,1163.0,1259.0
乌 克 兰,Ukraine,69.0,48.0,85.0,101.0,105.0,102.0,
英    国,United Kingdom,643.0,822.0,976.0,1032.0,1051.0,927.0,984.0
澳大利亚,Australia,354.0,644.0,772.0,866.0,878.0,847.0,815.0
新 西 兰,New Zealand,107.0,232.0,293.0,338.0,343.0,345.0,325.0
