Serial Number,Date,Material Code,Material Name,Unit,Production Quantity,Raw materials,Labor Cost,Manufacturing Expenses,Administrative Expenses,Total Cost,Unit Cost,Remark
1,2022/1/1,W10101,Material 1,piece,120.0,120.0,50.0,50.0,120.0,340.0,2.83,1
2,2022/2/1,W10102,Material 2,piece,150.0,140.0,70.0,70.0,150.0,430.0,2.87,2
3,2022/3/1,W10103,Material 3,piece,200.0,160.0,90.0,90.0,170.0,510.0,2.55,3
4,2022/4/1,W10104,Material 4,piece,100.0,190.0,20.0,60.0,210.0,480.0,4.8,4
5,2022/5/1,W10105,Material 5,piece,140.0,150.0,40.0,50.0,70.0,310.0,2.21,5
6,2022/6/1,W10106,Material 6,piece,160.0,170.0,100.0,120.0,150.0,540.0,3.38,6
7,2022/7/1,W10107,Material 7,piece,200.0,210.0,110.0,50.0,220.0,590.0,2.95,7
8,2022/8/1,W10108,Material 8,piece,170.0,180.0,140.0,70.0,170.0,560.0,3.29,8
9,2022/9/1,W10109,Material 9,piece,210.0,200.0,120.0,90.0,210.0,620.0,2.95,9
10,2022/10/1,W10110,Material 10,piece,140.0,230.0,60.0,50.0,160.0,500.0,3.57,10
11,2022/11/1,W10111,Material 11,piece,150.0,120.0,20.0,40.0,140.0,320.0,2.13,11
12,2022/12/1,W10112,Material 12,piece,160.0,150.0,90.0,90.0,140.0,470.0,2.94,12
13,2023/1/1,W10113,Material 13,piece,174.242424,186.97,89.24,69.85,168.94,515.0,2.96,13
14,2023/2/1,W10114,Material 14,piece,176.689977,189.84,91.31,69.95,170.44,521.54,2.95,14
15,2023/3/1,W10115,Material 15,piece,179.137529,192.7,93.37,70.06,171.95,528.08,2.95,15
16,2023/4/1,W10116,Material 16,piece,181.585082,195.57,95.43,70.16,173.45,534.62,2.94,16
17,2023/5/1,W10117,Material 17,piece,184.032634,198.44,97.49,70.27,174.95,541.15,2.94,17
