"ShandongProvinceGeneralPublicBudgetExpenditure-GeneralPublicBudgetExpenditure-Unit:10,000yuan-Category-Category",ShandongProvinceGeneralPublicBudgetExpenditure-GeneralPublicBudgetExpenditure-Category-Category,ShandongProvinceGeneralPublicBudgetExpenditure-GeneralPublicBudgetExpenditure-2019-2019,ShandongProvinceGeneralPublicBudgetExpenditure-GeneralPublicBudgetExpenditure-2020-2020,ShandongProvinceGeneralPublicBudgetExpenditure-GeneralPublicBudgetExpenditure-2021-2021,ShandongProvinceGeneralPublicBudgetExpenditure-GeneralPublicBudgetExpenditure-2022-2022,ShandongProvinceGeneralPublicBudgetExpenditure-GeneralPublicBudgetExpenditure-(10000yuan)-2023-2023
,,,,,,
General Public Budget Expenditure,General Public Budget Expenditure,107397560.0,112335163.0,117131607.0,121286340.0,125817390.0
General Public Service Expenditure,Expenditure for General Public Services,10619500.0,11180676.0,11361128.0,12093238.0,11934996.0
Public Security Expenditure,Expenditure for Public Security,6332058.0,6316573.0,6351953.0,6328568.0,6471840.0
Education Expenditure,Expenditure for Education,21561355.0,22838368.0,24110936.0,26264802.0,27137395.0
Science and Technology Expenditure,Expenditure for Science and Technology,3057556.0,2986162.0,3723197.0,3132594.0,3227048.0
"Cultural, Tourism, Sports, and Media Expenditure","Expenditure for Culture, Tourism，Sport and Media",1895034.0,1701115.0,1803572.0,1674730.0,1574182.0
Social Security and Employment Expenditure,Expenditure for Social Secunity and Employment,14446327.0,16575296.0,18633891.0,19644355.0,21817521.0
Health and Wellness Expenditure,Expenditure for Health Care,9120675.0,10455012.0,10927223.0,12341046.0,12539795.0
Urban and Rural Community Expenditure,Expenditure for Urban and Rural Community Affairs,10702489.0,10538645.0,10873296.0,9923417.0,12001280.0
"Agriculture, Forestry, and Water Expenditure","Expenditure for Agriculture, Forestry and",10759789.0,10652864.0,10269455.0,11188638.0,10517303.0
,Water Conservancy,,,,,
Transportation Expenditure,Expenditure for Transportation,3777587.0,3758935.0,3262570.0,3024850.0,3029245.0
"Resources, Exploration, Industry, Information, and Other Expenditures",Expenditure for Resource Exploration and,2161059.0,2594688.0,2589794.0,2555044.0,2810679.0
,Industrial Information,,,,,
"Commerce, Service Industry, and Other Expenditures",Expenditure for Affairs of Commerce and Services,558267.0,742788.0,847941.0,895854.0,824893.0
"Natural Resources, Ocean, Meteorology, and Related Expenditures","Expenditure for Natural Rescources,Ocean and",1355145.0,1311128.0,1362818.0,1413708.0,1319905.0
,Weather,,,,,
Housing Security Expenditure,Expenditure for Affairs of Housing Security,2392927.0,2516290.0,2806846.0,3121092.0,3256167.0
,,,,,,
,,,,,,
"Note: Since 2019, the expenditure on culture, sports, and media has been renamed as expenditure on cultural, tourism, sports, and media, and the expenditure on health care, medical services, and family planning has been renamed as expenditure on health and wellness. Expenditure on land, oceans, and meteorology, etc.",,,,,,
"Out of renamed natural resources, oceanic, and meteorological expenditures.",,,,,,
"a) Since 2019,Expenditure for Culture, Sport and Media renames to Expenditure for Culture,Tourism,Sport and Media.Expenditure for Medical and",,,,,,
"Health Care,and Family Planning renames to  Expenditure for Health.Expenditure for Affairs of Land,Ocean and Weather renames to Expenditure",,,,,,
for Natural Ocean and Weather.,,,,,,
