"OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-TownshipandStreet-TownshipandStreet","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-TownshipandStreet-TownshipandStreet.1","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-Newcommercialresidentialunits-Groundbuildingfloorcountexceeding4floors","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-Newcommercialresidentialunits-Groundbuildingfloorcountexceeding4floors.1","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-Newcommercialresidentialunits-Groundbuildingfloorcountexceeding4floors.2","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-Newcommercialresidentialunits-Groundbuildingfloors4floorsorbelow","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-Newcommercialresidentialunits-Groundbuildingfloors4floorsorbelow.1","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-Newcommercialresidentialunits-Groundbuildingfloors4floorsorbelow.2","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-Second-handresidentialhousing-Second-handresidentialhousing","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-Second-handresidentialhousing-Second-handresidentialhousing.1","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-Second-handresidentialhousing-Second-handresidentialhousing.2"
Township and Street,Township and Street,Number of units (units),"Area (10,000 square meters)",Average price (RMB/square meter),Number of units (units),"Area (10,000 square meters)",Average price (RMB/square meter),Number of units (units),"Area (10,000 square meters)",Average Price (Yuan/Square Meter)
Dongguan City,Dongguan City,2199,25.11,29296,94,3.24,36350,1592,18.85,19607
Urban Area District Section,Guancheng Subdistrict,4,0.06,32175,0,0.0,0,77,0.66,13442
Urban Area District Section,Dongcheng Subdistrict,14,0.35,38398,4,0.31,59741,121,1.5,22936
Urban Area District Section,Wanjiang Subdistrict,119,1.38,31464,0,0.0,0,65,0.62,20829
Urban Area District Section,Nancheng Subdistrict,15,0.49,40592,3,0.22,39942,195,1.99,30189
Urban Area District Section,Gaobu Town,17,0.26,24487,1,0.02,27629,3,0.06,22358
Urban Area District Section,Shijie Town,173,1.75,25283,1,0.07,13428,36,0.32,14355
Songshan Lake Area,Songshan Lake,121,2.45,50651,6,0.57,35537,56,0.82,34661
Songshan Lake Area,Chashan Town,124,1.37,24519,8,0.28,27337,10,0.12,17028
Songshan Lake Area,Shilong Town,36,0.39,19252,0,0.0,0,37,0.37,10079
Songshan Lake Area,Shiqiao Town,11,0.14,17150,0,0.0,0,21,0.22,13993
Songshan Lake Area,Liaobu Town,226,2.45,26696,4,0.11,26998,88,0.78,21560
Songshan Lake Area,Dalingshan Town,55,0.6,30856,8,0.25,44888,38,0.5,22582
Songshan Lake Area,Dalong Town,37,0.39,33362,0,0.0,0,46,0.54,19334
Binhai Area,Humen Town,275,2.72,33105,1,0.04,27561,99,1.27,20463
Binhai Area,Chang'an Town,130,1.25,38967,3,0.08,51398,23,0.27,29896
Binhai Area,Shatian Town,50,0.51,21944,6,0.15,31022,31,0.46,20617
Binhai Area,Thick Street Town,123,1.52,29104,3,0.15,27803,59,0.79,23276
Shuixiang New Town Area,Chongtang Town,35,0.36,19709,0,0.0,0,20,1.33,2927
Shuixiang New Town Area,Wangniudun Town,14,0.15,19219,0,0.0,0,4,0.04,17579
Shuixiang New Town Area,Machong Town,63,0.7,20784,6,0.16,27142,27,0.3,15997
Shuixiang New Town Area,Daojiao Town,51,0.53,27270,1,0.05,7967,25,0.32,21488
Shuixiang New Town Area,Hongmei Town,15,0.13,21031,0,0.0,0,7,0.09,16691
