1-10按行业(大类)、开业(成立)时间分组的法人单位数-行业大类,1-10按行业(大类)、开业(成立)时间分组的法人单位数-代码,1-10按行业(大类)、开业(成立)时间分组的法人单位数-法人单位数(个),1-10按行业(大类)、开业(成立)时间分组的法人单位数-1949年以前,1-10按行业(大类)、开业(成立)时间分组的法人单位数-1950-1977年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-1978-1991年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-1992-1995年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-1996年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-1997年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-1998年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-1999年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-2000年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-2001年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-2002年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-2003年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-2004年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-2005年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-2006年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-2007年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-2008年
,,,,,,,,,,,,,,,,,,,
总    计,,7098765.0,86966.0,474481.0,822850.0,387265.0,124640.0,125294.0,205445.0,202572.0,310616.0,376565.0,414896.0,494382.0,515959.0,584023.0,675854.0,670272.0,515402.0
农、林、牧、渔业,A,2023.0,48.0,914.0,204.0,58.0,24.0,24.0,51.0,40.0,56.0,49.0,63.0,76.0,85.0,71.0,81.0,86.0,92.0
农业,100,678.0,28.0,395.0,37.0,11.0,4.0,3.0,20.0,13.0,20.0,18.0,18.0,19.0,22.0,17.0,19.0,22.0,12.0
林业,200,528.0,12.0,338.0,65.0,18.0,5.0,5.0,5.0,8.0,8.0,6.0,7.0,7.0,8.0,12.0,9.0,9.0,5.0
畜牧业,300,415.0,5.0,36.0,13.0,15.0,7.0,8.0,13.0,14.0,19.0,13.0,26.0,33.0,37.0,29.0,38.0,42.0,67.0
渔业,400,64.0,1.0,8.0,5.0,3.0,3.0,6.0,2.0,4.0,3.0,2.0,3.0,8.0,5.0,2.0,5.0,4.0,
农、林、牧、渔服务业,500,338.0,2.0,137.0,84.0,11.0,5.0,2.0,11.0,1.0,6.0,10.0,9.0,9.0,13.0,11.0,10.0,9.0,8.0
采矿业,B,97315.0,70.0,1509.0,5634.0,4597.0,1837.0,1653.0,3288.0,2520.0,4313.0,5514.0,5632.0,8249.0,9935.0,10956.0,12014.0,10552.0,7838.0
煤炭开采和洗选业,600,21931.0,38.0,816.0,2419.0,1681.0,679.0,566.0,939.0,674.0,1011.0,1217.0,1109.0,1779.0,1915.0,2055.0,1877.0,1562.0,1202.0
石油和天然气开采业,700,1363.0,2.0,9.0,27.0,48.0,13.0,17.0,158.0,48.0,71.0,79.0,68.0,93.0,112.0,114.0,178.0,159.0,156.0
黑色金属矿采选业,800,17469.0,3.0,73.0,477.0,436.0,195.0,153.0,321.0,292.0,619.0,814.0,900.0,1502.0,2408.0,2512.0,2402.0,2237.0,1855.0
有色金属矿采选业,900,10686.0,5.0,117.0,486.0,474.0,192.0,184.0,284.0,273.0,426.0,526.0,549.0,789.0,961.0,1176.0,1602.0,1443.0,983.0
非金属矿采选业,1000,45161.0,22.0,489.0,2200.0,1940.0,753.0,727.0,1564.0,1214.0,2160.0,2834.0,2973.0,4038.0,4481.0,5016.0,5844.0,5059.0,3541.0
其他采矿业,1100,705.0,,5.0,25.0,18.0,5.0,6.0,22.0,19.0,26.0,44.0,33.0,48.0,58.0,83.0,111.0,92.0,101.0
制造业,C,1818370.0,969.0,20497.0,85406.0,109996.0,37658.0,39871.0,67075.0,63621.0,99648.0,121068.0,133289.0,160954.0,161301.0,174335.0,204461.0,189294.0,135095.0
农副食品加工业,1300,102309.0,37.0,1559.0,4393.0,5445.0,2265.0,2463.0,4643.0,4155.0,6658.0,7300.0,7663.0,8974.0,9116.0,10042.0,10591.0,9616.0,6660.0
食品制造业,1400,41714.0,33.0,560.0,2024.0,2647.0,962.0,1107.0,1960.0,1604.0,2593.0,2919.0,2877.0,3423.0,3463.0,3866.0,4270.0,4061.0,3041.0
饮料制造业,1500,34980.0,57.0,672.0,2296.0,2213.0,879.0,926.0,1785.0,1535.0,2258.0,2425.0,2483.0,2837.0,2737.0,3087.0,3307.0,3118.0,2116.0
烟草制品业,1600,251.0,18.0,23.0,41.0,23.0,5.0,6.0,13.0,12.0,12.0,15.0,7.0,16.0,11.0,15.0,19.0,3.0,10.0
纺织业,1700,108024.0,63.0,813.0,3660.0,5178.0,1842.0,2081.0,3543.0,3647.0,6560.0,7251.0,9801.0,11289.0,10493.0,10978.0,12933.0,10637.0,6727.0
纺织服装、鞋、帽制造业,1800,79494.0,18.0,493.0,2210.0,3952.0,1280.0,1428.0,2104.0,2198.0,4112.0,4954.0,5682.0,6974.0,7346.0,8261.0,10469.0,10417.0,7149.0
皮革、毛皮、羽毛(绒)及其制品业,1900,31232.0,9.0,196.0,1110.0,2160.0,720.0,671.0,1043.0,1045.0,1647.0,2031.0,2240.0,2533.0,2540.0,2984.0,3758.0,3668.0,2653.0
木材加工及木、竹、藤、棕、草制品业,2000,62693.0,9.0,351.0,1676.0,2190.0,935.0,960.0,1898.0,1754.0,3159.0,4035.0,4412.0,5684.0,5838.0,7054.0,8853.0,8516.0,5113.0
家具制造业,2100,36117.0,3.0,215.0,1035.0,1799.0,780.0,811.0,1399.0,1255.0,2014.0,2381.0,2477.0,3159.0,3383.0,3654.0,4378.0,4219.0,2936.0
造纸及纸制品业,2200,48625.0,33.0,419.0,2516.0,3170.0,1208.0,1189.0,1882.0,1879.0,2780.0,3370.0,3768.0,4373.0,4280.0,4449.0,5134.0,4695.0,3228.0
印刷业和记录媒介的复制,2300,52693.0,108.0,1047.0,5001.0,4985.0,1545.0,1641.0,2500.0,1950.0,3020.0,3605.0,3827.0,4734.0,4280.0,3969.0,4363.0,3652.0,2346.0
文教体育用品制造业,2400,20118.0,10.0,126.0,851.0,1347.0,423.0,414.0,658.0,683.0,1039.0,1319.0,1374.0,1862.0,1903.0,1883.0,2265.0,2211.0,1622.0
石油加工及炼焦,2500,6424.0,7.0,64.0,309.0,395.0,129.0,143.0,242.0,216.0,335.0,445.0,496.0,674.0,676.0,582.0,606.0,546.0,441.0
化学原料及化学制品制造业,2600,96172.0,68.0,1196.0,5102.0,6633.0,2169.0,2370.0,4023.0,3872.0,5753.0,7115.0,7276.0,8490.0,8258.0,9056.0,10067.0,8140.0,5733.0
医药制造业,2700,15286.0,39.0,360.0,799.0,1221.0,368.0,392.0,671.0,598.0,857.0,1105.0,1122.0,1336.0,1391.0,1395.0,1343.0,1179.0,933.0
化学纤维制造业,2800,4521.0,2.0,21.0,150.0,246.0,72.0,90.0,127.0,157.0,278.0,273.0,383.0,524.0,461.0,413.0,593.0,452.0,251.0
橡胶制品业,2900,20744.0,11.0,238.0,1166.0,1416.0,523.0,507.0,834.0,796.0,1151.0,1468.0,1534.0,1820.0,1753.0,1939.0,2112.0,1934.0,1394.0
塑料制品业,3000,98293.0,9.0,455.0,3692.0,5662.0,1913.0,2099.0,3420.0,3466.0,5562.0,6815.0,8048.0,8855.0,8864.0,9626.0,11460.0,10436.0,7232.0
非金属矿物制品业,3100,211193.0,71.0,3029.0,15855.0,15097.0,5271.0,4649.0,8859.0,7194.0,11322.0,13354.0,13520.0,17038.0,16846.0,18639.0,22998.0,20795.0,15295.0
黑色金属冶炼及压延加工业,3200,18939.0,10.0,217.0,809.0,1039.0,351.0,352.0,591.0,603.0,905.0,1152.0,1377.0,2149.0,2121.0,1965.0,1892.0,1827.0,1386.0
有色金属冶炼及压延加工业,3300,21498.0,12.0,185.0,864.0,1258.0,415.0,456.0,676.0,726.0,1087.0,1392.0,1452.0,1770.0,1917.0,2120.0,2599.0,2604.0,1707.0
金属制品业,3400,132747.0,29.0,1292.0,5487.0,7424.0,2403.0,2735.0,4426.0,4649.0,6999.0,8786.0,9740.0,11819.0,11907.0,13047.0,15355.0,14538.0,10947.0
通用设备制造业,3500,181969.0,96.0,2282.0,8787.0,10842.0,3606.0,3921.0,6614.0,6165.0,9600.0,11987.0,13384.0,16367.0,16632.0,17661.0,19893.0,18839.0,13798.0
专用设备制造业,3600,92806.0,66.0,1405.0,3620.0,4862.0,1679.0,1870.0,3015.0,3092.0,4673.0,6040.0,6806.0,8328.0,8534.0,9321.0,10844.0,10177.0,7485.0
交通运输设备制造业,3700,79692.0,81.0,1207.0,3995.0,5237.0,1682.0,1799.0,2938.0,2809.0,4008.0,4839.0,5584.0,6900.0,6881.0,7316.0,8907.0,8411.0,6322.0
电气机械及器材制造业,3900,93754.0,35.0,961.0,3776.0,5827.0,1840.0,2095.0,3119.0,3424.0,4858.0,6189.0,6861.0,8130.0,8209.0,8494.0,10503.0,10429.0,8040.0
通信设备、计算机及其他电子设备制造业,4000,45455.0,10.0,321.0,1131.0,2621.0,758.0,882.0,1242.0,1286.0,2173.0,2976.0,3314.0,3834.0,4277.0,4532.0,5500.0,5526.0,4531.0
仪器仪表及文化、办公用机械制造业,4100,23731.0,18.0,385.0,1107.0,1924.0,570.0,638.0,902.0,954.0,1286.0,1733.0,1708.0,2064.0,2050.0,2013.0,2368.0,2220.0,1619.0
工艺品及其他制造业,4200,48693.0,7.0,396.0,1765.0,2954.0,998.0,1083.0,1772.0,1704.0,2621.0,3336.0,3557.0,4247.0,4295.0,4964.0,5897.0,5241.0,3515.0
废弃资源和废旧材料回收加工业,4300,8203.0,,9.0,179.0,229.0,67.0,93.0,176.0,193.0,328.0,458.0,516.0,751.0,839.0,1010.0,1184.0,1187.0,865.0
电力、燃气及水的生产和供应业,D,57923.0,155.0,3578.0,8288.0,3937.0,1362.0,1388.0,2146.0,1868.0,2536.0,2947.0,3456.0,4738.0,4857.0,4698.0,4526.0,3792.0,2852.0
电力、热力的生产和供应业,4400,38016.0,90.0,2517.0,5033.0,2327.0,806.0,868.0,1369.0,1229.0,1515.0,1896.0,2315.0,3309.0,3561.0,3388.0,3053.0,2437.0,1721.0
燃气生产和供应业,4500,3128.0,8.0,20.0,153.0,185.0,66.0,61.0,104.0,127.0,180.0,208.0,234.0,317.0,283.0,288.0,316.0,292.0,234.0
水的生产和供应业,4600,16779.0,57.0,1041.0,3102.0,1425.0,490.0,459.0,673.0,512.0,841.0,843.0,907.0,1112.0,1013.0,1022.0,1157.0,1063.0,897.0
建筑业,E,226768.0,102.0,5446.0,13210.0,15886.0,4641.0,4806.0,7747.0,7384.0,10085.0,13926.0,14814.0,16977.0,18933.0,22074.0,25200.0,24384.0,19122.0
房屋和土木工程建筑业,4700,93054.0,87.0,4925.0,9607.0,8248.0,2100.0,2109.0,3748.0,3177.0,4246.0,6304.0,6063.0,6248.0,6474.0,7709.0,8540.0,7617.0,5185.0
建筑安装业,4800,43759.0,9.0,360.0,1947.0,3096.0,960.0,1122.0,1625.0,1635.0,2119.0,2792.0,2937.0,3441.0,3875.0,4438.0,4887.0,4624.0,3528.0
建筑装饰业,4900,66286.0,3.0,61.0,1068.0,3565.0,1298.0,1263.0,1807.0,1933.0,2833.0,3520.0,4111.0,5239.0,6140.0,7146.0,8501.0,9155.0,7971.0
其他建筑业,5000,23669.0,3.0,100.0,588.0,977.0,283.0,312.0,567.0,639.0,887.0,1310.0,1703.0,2049.0,2444.0,2781.0,3272.0,2988.0,2438.0
交通运输、仓储和邮政业,F,157589.0,291.0,5362.0,8697.0,7893.0,2528.0,2843.0,4787.0,4209.0,6243.0,8199.0,9279.0,11760.0,14421.0,17495.0,19445.0,18843.0,14565.0
铁路运输业,5100,440.0,2.0,13.0,70.0,43.0,10.0,6.0,23.0,14.0,24.0,23.0,19.0,26.0,26.0,42.0,27.0,37.0,29.0
道路运输业,5200,73202.0,112.0,2640.0,4155.0,3220.0,1094.0,1254.0,2075.0,1911.0,2933.0,4158.0,4560.0,5625.0,6748.0,7530.0,9191.0,8990.0,6707.0
城市公共交通业,5300,7689.0,13.0,231.0,458.0,985.0,280.0,338.0,402.0,368.0,433.0,551.0,567.0,538.0,584.0,551.0,544.0,497.0,328.0
水上运输业,5400,8009.0,14.0,534.0,845.0,557.0,141.0,169.0,276.0,214.0,312.0,385.0,513.0,569.0,683.0,716.0,738.0,776.0,510.0
航空运输业,5500,808.0,1.0,9.0,48.0,72.0,11.0,21.0,33.0,34.0,41.0,51.0,53.0,70.0,81.0,64.0,85.0,71.0,59.0
管道运输业,5600,85.0,,,8.0,9.0,,3.0,6.0,1.0,11.0,5.0,3.0,9.0,8.0,6.0,7.0,4.0,3.0
装卸搬运和其他运输服务业,5700,44661.0,29.0,521.0,1424.0,1622.0,612.0,628.0,971.0,968.0,1477.0,1911.0,2322.0,3237.0,4479.0,6509.0,6586.0,6168.0,5034.0
仓储业,5800,18207.0,85.0,1368.0,1636.0,1336.0,355.0,368.0,656.0,558.0,827.0,934.0,1020.0,1397.0,1387.0,1566.0,1698.0,1652.0,1202.0
邮政业,5900,4488.0,35.0,46.0,53.0,49.0,25.0,56.0,345.0,141.0,185.0,181.0,222.0,289.0,425.0,511.0,569.0,648.0,693.0
信息传输、计算机服务和软件业,G,153290.0,42.0,626.0,1525.0,2061.0,813.0,1054.0,1971.0,2842.0,6498.0,8421.0,10307.0,14585.0,15578.0,18799.0,25229.0,24926.0,17621.0
电信和其他信息传输服务业,6000,22590.0,37.0,595.0,1066.0,778.0,222.0,254.0,451.0,670.0,1177.0,1462.0,1438.0,2011.0,2175.0,2289.0,2896.0,2836.0,2205.0
计算机服务业,6100,90843.0,3.0,26.0,334.0,676.0,325.0,428.0,907.0,1273.0,3538.0,4788.0,6342.0,9184.0,9274.0,11683.0,16279.0,15515.0,10168.0
软件业,6200,39857.0,2.0,5.0,125.0,607.0,266.0,372.0,613.0,899.0,1783.0,2171.0,2527.0,3390.0,4129.0,4827.0,6054.0,6575.0,5248.0
批发和零售业,H,1403141.0,1642.0,25457.0,37243.0,49661.0,20044.0,22963.0,41421.0,43876.0,67759.0,82593.0,94373.0,120043.0,126406.0,146630.0,180886.0,186334.0,149594.0
批发业,6300,854007.0,566.0,12315.0,20343.0,28822.0,11630.0,13402.0,24506.0,26313.0,39697.0,50218.0,58333.0,75121.0,78192.0,90062.0,111161.0,116055.0,92676.0
零售业,6500,549134.0,1076.0,13142.0,16900.0,20839.0,8414.0,9561.0,16915.0,17563.0,28062.0,32375.0,36040.0,44922.0,48214.0,56568.0,69725.0,70279.0,56918.0
住宿和餐饮业,I,145297.0,97.0,1833.0,7402.0,7105.0,2737.0,2849.0,4671.0,4393.0,7325.0,7689.0,8323.0,10601.0,11948.0,14892.0,17945.0,19051.0,15972.0
住宿业,6600,54316.0,53.0,1176.0,5100.0,3883.0,1352.0,1363.0,2094.0,1826.0,2725.0,2657.0,2907.0,3632.0,3983.0,4776.0,5594.0,5922.0,5054.0
