"12-3规模以上工业企业主要经济指标(2019年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2019-项目","12-3规模以上工业企业主要经济指标(2019年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2019-Item","12-3规模以上工业企业主要经济指标(2019年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2019-企业单位数(个)NumberofEnterprises(unit)","12-3规模以上工业企业主要经济指标(2019年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2019-平均用工人数(人)AnnualAverageEmployees(person)","12-3规模以上工业企业主要经济指标(2019年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2019-资产总计TotalAssets","12-3规模以上工业企业主要经济指标(2019年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2019-流动资产合计TotalWorkingCapitals","12-3规模以上工业企业主要经济指标(2019年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2019-应收账款AccountsReceivable","12-3规模以上工业企业主要经济指标(2019年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2019-负债合计TotalLiabilities","12-3规模以上工业企业主要经济指标(2019年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2019-利税总额TotalProfitsandTaxes","12-3规模以上工业企业主要经济指标(2019年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2019-单位：万元(10000yuan)"
项    目,Item,"企业单位数
(个)
Number of
Enterprises
(unit)","平均用工
人数
(人)
Annual Average
Employees
(person)","资产总计
Total
Assets","流动资产
合    计
Total
Working
Capitals","应收账款
Accounts
Receivable","负债合计
Total
Liabilities","利税总额
Total
Profits
and
Taxes","# 利润总额
  Total
    Pre-tax
    Profits"
项    目,Item,"企业单位数
(个)
Number of
Enterprises
(unit)","平均用工
人数
(人)
Annual Average
Employees
(person)","资产总计
Total
Assets","流动资产
合    计
Total
Working
Capitals","应收账款
Accounts
Receivable","负债合计
Total
Liabilities","利税总额
Total
Profits
and
Taxes","# 利润总额
  Total
    Pre-tax
    Profits"
项    目,Item,"企业单位数
(个)
Number of
Enterprises
(unit)","平均用工
人数
(人)
Annual Average
Employees
(person)","资产总计
Total
Assets","流动资产
合    计
Total
Working
Capitals","应收账款
Accounts
Receivable","负债合计
Total
Liabilities","利税总额
Total
Profits
and
Taxes","# 利润总额
  Total
    Pre-tax
    Profits"
项    目,Item,"企业单位数
(个)
Number of
Enterprises
(unit)","平均用工
人数
(人)
Annual Average
Employees
(person)","资产总计
Total
Assets","流动资产
合    计
Total
Working
Capitals","应收账款
Accounts
Receivable","负债合计
Total
Liabilities","利税总额
Total
Profits
and
Taxes","# 利润总额
  Total
    Pre-tax
    Profits"
,,,,,,,,,
全 市 总 计,Total,4813,984020,216445143,105922805,28356872,125370685,19294030,12476820
按企业规模分,Grouped by Size of Enterprises,,,,,,,,
大  型,Large-sized,127,362025,98615605,42410081,9326911,56068793,13068614,8819655
中  型,Medium-sized,459,247099,45909538,24564630,7581361,25957005,2767856,1579140
小  型,Small-sized,3642,352910,59604240,35016626,10616331,35685614,3240063,1991543
微  型,Mini-sized,585,21986,12315760,3931469,832270,7659273,217497,86482
按登记注册类型分,Grouped by Status of Registration,,,,,,,,
内资企业,Domestic-funded Enterprises,3679,629974,149094261,70440354,16086900,91526851,6974922,2996517
# 国  有,State-owned Enterprises,14,3837,1058785,836983,58257,949379,451640,91793
集  体,Collective-owned Enterprises,14,1380,75923,60478,13287,39832,2494,519
股份合作,Cooperative Enterprises,19,2578,225138,149637,39899,116026,8161,2121
私营企业,Private Enterprises,2366,235780,30550886,17727118,4936017,18441873,1626558,1028216
股份有限公司,Share-holding Corporations Ltd.,193,101242,33543364,13127314,3172002,15232568,3128109,1141976
有限责任公司,Limited Liability Corporations,1072,285089,83639199,38537926,7867138,56746293,1757797,731778
# 国有独资公司,Sole State-funded Corporations,97,81106,28341816,12088461,1765291,17347100,403135,177782
港、澳、台商投资企业,"Enterprises with Investment from Hong Kong,",,,,,,,,
,Macao and Taiwan,220,75968,20864337,6732477,2043735,10242866,7250374,5926141
外商投资企业,Foreign Funded Enterprises,914,278078,46486545,28749974,10226237,23600967,5068735,3554162
按隶属关系分,Grouped by Administrative Relationship,,,,,,,,
中  央,Central Industry,77,95567,33135361,10882555,2418192,16534781,2649550,539543
地  方,Local Industry,4736,888453,183309782,95040250,25938680,108835903,16644481,11937277
按企业控股情况分,Grouped by Company Holding Type,,,,,,,,
国有及国有控股企业,State-owned and State-holding Enterprises,476,233144,86020265,34640450,7043463,50348437,4456192,1375880
民营及民营控股企业,Private and Private Holding Enterprises,3332,444266,73920866,41348641,10301140,46352462,3634490,2191804
外商及港澳台商控股企业,"Hong Kong, Macao,Taiwan and Foreign",,,,,,,,
,Funded Holding Enterprises,1005,306610,56504011,29933714,11012270,28669786,11203347,8909136
