Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-Region,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-Total,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-Total.1,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-Total.2,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-Before1949,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-Before1949.1,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-Before1949.2,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-1950-1959,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-1950-1959.1,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-1950-1959.2,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-1960-1969,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-1960-1969.1,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-1960-1969.2,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-1970-1979,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-1970-1979.1,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-1970-1979.2,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-1980–1989,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-1980–1989.1,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-1980–1989.2,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-1990-1999,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-1990-1999.1,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-1990-1999.2,"Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-Unit:households,rooms,squaremeters-2000–2005",Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-2000–2005,Table11-4Housingconditionsoffamilyhouseholdsbyhousingconstructiontimeindifferentregions-2000–2005.1
Region,Number of households,Number of rooms,Area,Number of households,Number of rooms,Area,Number of households,Number of rooms,Area,Number of households,Number of rooms,Area,Number of households,Number of rooms,Area,Number of households,Number of rooms,Area,Number of households,Number of rooms,Area,Number of households,Number of rooms,Area
Hunan Province,196463,675003,21346981,5567,13597,367618,3993,10162,279614,8289,21994,632290,20612,56954,1659796,53744,168367,5238435,70264,262213,8453208,33994,141716,4716020
Changsha City,19079,70116,2137599,165,429,9568,371,726,16244,292,765,21469,1772,4770,137344,4561,13850,415908,8079,32570,1012998,3839,17006,524068
Zhuzhou City,10964,44886,1544564,112,280,9437,87,230,6989,259,833,23483,859,2303,74600,2691,10113,330263,4583,20020,699126,2373,11107,400666
Xiangtan City,9850,36271,1148872,172,418,8391,132,244,5738,319,763,22199,968,2562,72008,2373,7308,234286,4372,17953,581195,1514,7023,225055
Hengyang City,20441,71820,2362984,331,633,17280,324,676,18722,734,1632,46217,1856,4626,138245,4492,14309,469466,8960,33921,1123511,3744,16023,549543
Shaoyang City,20918,64606,2123708,857,1882,52509,657,1665,48587,1142,2775,86007,2587,6493,199188,5995,17555,555619,6092,20604,692922,3588,13632,488876
Yueyang City,14859,53885,1630998,236,716,17647,122,387,10259,312,931,27453,1274,3983,107477,3963,12681,387900,6177,23147,706919,2775,12040,373343
Changde City,18791,54086,2045434,102,219,8364,163,387,13227,305,704,26013,1340,3266,113770,5892,15669,590877,7393,22254,826456,3596,11587,466727
Zhangjiajie City,4710,16459,570058,117,270,8870,128,324,10888,290,695,25418,550,1471,50692,1237,3916,140470,1367,5261,177193,1021,4522,156527
Yiyang City,12909,47764,1415383,139,416,9334,146,463,10442,284,941,22673,1117,3367,90022,3999,13014,387319,4875,19333,582729,2349,10230,312864
Chenzhou City,15472,48906,1366754,795,1832,47301,326,697,18288,1041,2660,70899,2048,5713,152009,4823,14918,406529,4318,15110,434629,2121,7976,237099
Yongzhou City,14547,53181,1500004,809,1936,46062,241,643,16221,645,1711,41836,1434,4228,109903,3698,12719,346381,5223,20692,602984,2497,11252,336617
Huaihua City,14409,48073,1462602,691,1938,55936,590,1762,50620,1278,3787,120051,2098,6407,198920,4447,14533,429279,3807,13568,415805,1498,6078,191991
Loudi City,11591,37705,1253551,568,1405,40085,283,788,21108,699,1859,46348,1605,4399,126072,3226,10491,337408,3502,11883,425086,1708,6880,257444
Xiangxi Tujia and Miao Autonomous Prefecture,7923,27245,784470,473,1223,36834,423,1170,32281,689,1938,52224,1104,3366,89546,2347,7291,206730,1516,5897,171655,1371,6360,195200
