1-1-11全国按乡村类型和就业方式分的住户农业从业人员数量-名称,单位：人-家庭户从业劳动力-合计,雇主,家庭帮工,自营,务工,公职,集体户从业劳动力
,,,,,,,
合        计,342170153.0,1177586.0,606675.0,337457321.0,2782286.0,146285.0,293838.0
一、按社区类型分,,,,,,,
村委会,333447332.0,1100093.0,558446.0,329240228.0,2438876.0,109689.0,237657.0
居委会,6047224.0,37159.0,21606.0,5840877.0,141368.0,6214.0,28154.0
农场,1953266.0,30035.0,20118.0,1696333.0,180284.0,26496.0,13192.0
二、按地势分,,,,,,,
平原,135382219.0,468429.0,244629.0,133275895.0,1340720.0,52546.0,102942.0
丘陵,110053265.0,427206.0,206598.0,108496278.0,881255.0,41928.0,114206.0
山区,95924781.0,270561.0,148349.0,94925775.0,533163.0,46933.0,61114.0
三、按贫困村类型分,,,,,,,
非贫困村,270099543.0,971040.0,503463.0,266126593.0,2385027.0,113420.0,247124.0
贫困村,71259885.0,195138.0,96093.0,70570512.0,370112.0,28030.0,31138.0
省定贫困村,48392473.0,125295.0,58910.0,47943361.0,246244.0,18663.0,18081.0
省以下定贫困村,22867412.0,69843.0,37183.0,22627151.0,123868.0,9367.0,13057.0
四、按是否少数民族聚居村分,,,,,,,
是,46011404.0,110321.0,51174.0,45566349.0,261190.0,22370.0,27988.0
否,295347569.0,1055874.0,548401.0,291131112.0,2493926.0,118256.0,250252.0
五、按所在乡镇类型分,,,,,,,
乡,108706702.0,303697.0,146728.0,107621464.0,595629.0,39184.0,51008.0
镇,220530342.0,781348.0,403545.0,217457971.0,1808453.0,79025.0,188081.0
街道,10226614.0,56446.0,34029.0,9946658.0,185652.0,3829.0,39356.0
农场,2614741.0,35289.0,21901.0,2342940.0,190767.0,23844.0,14941.0
六、按所在乡镇是否县政府驻地分,,,,,,,
是,23279491.0,88018.0,42659.0,22932921.0,205393.0,10500.0,23405.0
否,318798908.0,1088762.0,563544.0,314436112.0,2575108.0,135382.0,269981.0
七、按所在乡镇是否民族乡镇分,,,,,,,
是,19718968.0,60093.0,32792.0,19489313.0,125811.0,10959.0,10524.0
否,322359431.0,1116687.0,573411.0,317879720.0,2654690.0,134923.0,282862.0
八、按所在乡镇是否老区分,,,,,,,
是,78221754.0,259054.0,143953.0,77315949.0,476490.0,26308.0,49499.0
否,263856645.0,917726.0,462250.0,260053084.0,2304011.0,119574.0,243887.0
九、按所在乡镇是否边区分,,,,,,,
是,13995882.0,55385.0,29054.0,13759957.0,140130.0,11356.0,11905.0
否,328082517.0,1121395.0,577149.0,323609076.0,2640371.0,134526.0,281481.0
十、无对应乡表的分组,91754.0,806.0,472.0,88288.0,1785.0,403.0,452.0
十一、无对应村表的分组,722331.0,10299.0,6505.0,679883.0,21758.0,3886.0,14835.0
