汉阴县2020年度新社区工厂补贴资金计划表-序号,汉阴县2020年度新社区工厂补贴资金计划表-新社区工厂名称,汉阴县2020年度新社区工厂补贴资金计划表-新社区工厂名称.1,汉阴县2020年度新社区工厂补贴资金计划表-从业人数（人）,汉阴县2020年度新社区工厂补贴资金计划表-其中吸纳安置贫困劳动力就业人数（人）,汉阴县2020年度新社区工厂补贴资金计划表-一次性岗位补贴（元）,汉阴县2020年度新社区工厂补贴资金计划表-房租（元）,汉阴县2020年度新社区工厂补贴资金计划表-生产用水费（元）,汉阴县2020年度新社区工厂补贴资金计划表-生产用电费（元）,汉阴县2020年度新社区工厂补贴资金计划表-房租、水电费用补贴标准（%）,汉阴县2020年度新社区工厂补贴资金计划表-拟补贴金额（元）,汉阴县2020年度新社区工厂补贴资金计划表-备注
1,汉阴顺源电子科技有限公司（铁佛）,汉阴顺源电子科技有限公司（铁佛）,6,2,4000,0,0,353,1,4177,电费：2020年2月至2020年度一次性岗位补贴2人（2000元/人）
2,汉阴县帆航体育用品有限公司,汉阴县帆航体育用品有限公司,50,29,0,0,270,7338,1,3804,水费：2020年9月                       电费：2020年5月15日至9月14日
3,汉阴县富硒乡农林土特产有限公司,汉阴县富硒乡农林土特产有限公司,22,3,6000,86000,0,3210,1,50605,房租：2019年10月1日至2020年10月1日                      电费：2020年4月15日至8月14日
4,安康市天利环宇玩具有限公司,安康市天利环宇玩具有限公司,79,9,18000,0,1992,10029,1,28029,水费：2019年1月至2020年5月                     电费：2019年9月15日至2020年8月14日                    2020年度一次性岗位补贴符合9人（2000元/人）
5,安康拓安毛绒玩具有限公司,安康拓安毛绒玩具有限公司,30,14,26000,0,140,3719,1,29859,水费：2020年1月至2020年8月                     电费：2020年2月15日至2020年8月14日                    2020年度一次性岗位补贴符合13人（2000元/人）
6,安康顺安缘玩具有限公司,安康顺安缘玩具有限公司,46,7,12000,0,0,11561,1,23561,电费：2019年9月15日至2020年8月14日                          2020年度一次性岗位补贴符合6人（2000元/人）
7,安康艺美达玩具有限公司,安康艺美达玩具有限公司,85,28,56000,0,0,0,1,56000,2020年度一次性岗位补贴符合28人（2000元/人）
8,安康市民安玩具有限公司,安康市民安玩具有限公司,158,19,34000,0,3024,31210,1,68235,水费：2020年1月至2020年4月                     电费：2020年2月16日至2020年6月15日                    2020年度一次性岗位补贴符合17人（2000元/人）
9,汉阴龙岭玩具有限公司,龙岭总厂,105,14,16000,0,0,19544,1,35544,电费：2020年1月16日至2020年6月15日                    2020年度一次性岗位补贴符合9人（2000元/人）
9 ,汉阴龙岭玩具有限公司,月河分厂,47,9,14000,0,0,933,1,14933,电费：2020年2月16日至2020年6月15日                    2020年度一次性岗位补贴符合8人（2000元/人）
合计,合计,,628,134,186000,86000,5426,87897,,314746,
注：因汉阴顺源电子科技有限公司（铁佛）等6家新社区工厂水电费生活办公和生产用未分开，故电费按实际发生额的70%、水费按30%核定。,    注：因汉阴顺源电子科技有限公司（铁佛）等6家新社区工厂水电费生活办公和生产用未分开，故电费按实际发生额的70%、水费按30%核定。                                                                                                                  ,    注：因汉阴顺源电子科技有限公司（铁佛）等6家新社区工厂水电费生活办公和生产用未分开，故电费按实际发生额的70%、水费按30%核定。                                                                                                                  ,    注：因汉阴顺源电子科技有限公司（铁佛）等6家新社区工厂水电费生活办公和生产用未分开，故电费按实际发生额的70%、水费按30%核定。                                                                                                                  ,    注：因汉阴顺源电子科技有限公司（铁佛）等6家新社区工厂水电费生活办公和生产用未分开，故电费按实际发生额的70%、水费按30%核定。                                                                                                                  ,    注：因汉阴顺源电子科技有限公司（铁佛）等6家新社区工厂水电费生活办公和生产用未分开，故电费按实际发生额的70%、水费按30%核定。                                                                                                                  ,    注：因汉阴顺源电子科技有限公司（铁佛）等6家新社区工厂水电费生活办公和生产用未分开，故电费按实际发生额的70%、水费按30%核定。                                                                                                                  ,    注：因汉阴顺源电子科技有限公司（铁佛）等6家新社区工厂水电费生活办公和生产用未分开，故电费按实际发生额的70%、水费按30%核定。                                                                                                                  ,    注：因汉阴顺源电子科技有限公司（铁佛）等6家新社区工厂水电费生活办公和生产用未分开，故电费按实际发生额的70%、水费按30%核定。                                                                                                                  ,    注：因汉阴顺源电子科技有限公司（铁佛）等6家新社区工厂水电费生活办公和生产用未分开，故电费按实际发生额的70%、水费按30%核定。                                                                                                                  ,    注：因汉阴顺源电子科技有限公司（铁佛）等6家新社区工厂水电费生活办公和生产用未分开，故电费按实际发生额的70%、水费按30%核定。                                                                                                                  ,    注：因汉阴顺源电子科技有限公司（铁佛）等6家新社区工厂水电费生活办公和生产用未分开，故电费按实际发生额的70%、水费按30%核定。                                                                                                                  
