"13-3规模以上工业企业主要经济指标(2021年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021","13-3规模以上工业企业主要经济指标(2021年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021.1","13-3规模以上工业企业主要经济指标(2021年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021.2","13-3规模以上工业企业主要经济指标(2021年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021.3","13-3规模以上工业企业主要经济指标(2021年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021.4","13-3规模以上工业企业主要经济指标(2021年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021.5","13-3规模以上工业企业主要经济指标(2021年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021.6","13-3规模以上工业企业主要经济指标(2021年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021.7","13-3规模以上工业企业主要经济指标(2021年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021.8","13-3规模以上工业企业主要经济指标(2021年)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021-单位：万元(10000yuan)"
项    目,Item,"企业单位数
(个)
Number of
Enterprises
(unit)","平均用工
人数(人)
Annual Average
Employees
(person)","资产总计
Total
Assets","流动资产
合    计
Total
Working
Capitals","应收账款
Accounts
Receivable","负债合计
Total
Liabilities","利税总额
Total
Profits
and
Taxes",
项    目,Item,"企业单位数
(个)
Number of
Enterprises
(unit)","平均用工
人数(人)
Annual Average
Employees
(person)","资产总计
Total
Assets","流动资产
合    计
Total
Working
Capitals","应收账款
Accounts
Receivable","负债合计
Total
Liabilities","利税总额
Total
Profits
and
Taxes","# 利润总额
  Total
    Pre-tax
    Profits"
项    目,Item,"企业单位数
(个)
Number of
Enterprises
(unit)","平均用工
人数(人)
Annual Average
Employees
(person)","资产总计
Total
Assets","流动资产
合    计
Total
Working
Capitals","应收账款
Accounts
Receivable","负债合计
Total
Liabilities","利税总额
Total
Profits
and
Taxes","# 利润总额
  Total
    Pre-tax
    Profits"
项    目,Item,"企业单位数
(个)
Number of
Enterprises
(unit)","平均用工
人数(人)
Annual Average
Employees
(person)","资产总计
Total
Assets","流动资产
合    计
Total
Working
Capitals","应收账款
Accounts
Receivable","负债合计
Total
Liabilities","利税总额
Total
Profits
and
Taxes","# 利润总额
  Total
    Pre-tax
    Profits"
项    目,Item,"企业单位数
(个)
Number of
Enterprises
(unit)","平均用工
人数(人)
Annual Average
Employees
(person)","资产总计
Total
Assets","流动资产
合    计
Total
Working
Capitals","应收账款
Accounts
Receivable","负债合计
Total
Liabilities","利税总额
Total
Profits
and
Taxes","# 利润总额
  Total
    Pre-tax
    Profits"
,,,,,,,,,
全 市 总 计,Total,5662,968296,234973320,119055692,31885309,128296003,21949154,15032660
按企业规模分,Grouped by Size of Enterprises,,,,,,,,
大  型,Large-sized,121,349006,107550103,42996365,9714167,56014304,14214935,9867671
中  型,Medium-sized,460,238893,51454323,27812872,7352906,27279031,3434950,2230798
小  型,Small-sized,4213,363643,70805198,45076456,13722099,41436421,4127614,2841490
微  型,Mini-sized,868,16754,5163696,3170000,1096137,3566247,171656,92701
按登记注册类型分,Grouped by Status of Registration,,,,,,,,
内资企业,Domestic-funded Enterprises,4529,624929,151423564,75882532,18485297,86576820,7486959,3579751
# 国  有,State-owned Enterprises,36,8744,3720497,2295278,290357,3535061,601145,156020
集  体,Collective-owned Enterprises,12,1045,57879,48073,8161,28207,3361,1602
股份合作,Cooperative Enterprises,19,2142,225699,150154,46036,117542,6993,2596
私营企业,Private Enterprises,3285,281794,45064786,28617969,8204079,27521307,2069984,1337435
股份有限公司,Share-holding Corporations Ltd.,195,84295,30215248,12270913,2683757,11833377,3128018,1285819
有限责任公司,Limited Liability Corporations,982,246909,72139455,32500146,7252906,43541325,1677458,796279
# 国有独资公司,Sole State-funded Corporations,90,63477,26816017,10317453,1520077,14234256,205964,(14192)
港澳台商投资企业,"Enterprises with Investment from Hong Kong,",,,,,,,,
,Macao and Taiwan,224,77197,28389196,9243666,3302405,16855200,7417475,6049205
外商投资企业,Foreign Funded Enterprises,909,266170,55160560,33929495,10097607,24863983,7044720,5403704
按隶属关系分,Grouped by Administrative Relationship,,,,,,,,
中  央,Central Industry,81,86537,33121231,10509714,2327596,16291721,2399592,222512
地  方,Local Industry,5581,881759,201852089,108545978,29557713,112004281,19549562,14810148
按企业控股情况分,Grouped by Company Holding Type,,,,,,,,
国有及国有控股企业,State-owned and State-holding Enterprises,490,203484,88282146,34787721,6258170,48548978,5073609,1862245
民营及民营控股企业,Private and Private Holding Enterprises,4171,465826,78937613,47906544,13307600,44982367,4195477,2917007
外商及港澳台商控股企业,"Hong Kong, Macao,Taiwan and Foreign",,,,,,,,
,Funded Holding Enterprises,1001,298986,67753562,36361427,12319538,34764658,12680069,10253407
