主要社会经济发展结构指标（2018～2022）-指标,主要社会经济发展结构指标（2018～2022）-2018,主要社会经济发展结构指标（2018～2022）-2019,主要社会经济发展结构指标（2018～2022）-单位：%-2020,主要社会经济发展结构指标（2018～2022）-2021,主要社会经济发展结构指标（2018～2022）-2022
人口性别结构,100.0（2020年数据）,100.0（2020年数据）,100.0（2020年数据）,100.0（2020年数据）,100.0（2020年数据）
男,58.6（2020年数据）,58.6（2020年数据）,58.6（2020年数据）,58.6（2020年数据）,58.6（2020年数据）
女,41.4（2020年数据）,41.4（2020年数据）,41.4（2020年数据）,41.4（2020年数据）,41.4（2020年数据）
本地生产总值产业构成,100,100,100,100,100
第一产业,0,0,0,0,0
第二产业,68,67,67,72,71
第三产业,32,33,33,28,29
一般公共预算收入结构,100,100,100,100,100
增值税,48,44,31,30,32
营业税,0,0,0,-,-
企业所得税,14,11,13,18,14
个人所得税,8,5,7,9,13
在校学生人数结构,100,100,100,100,100
特殊教育,-,-,-,0,0
十二年一贯制,3,3,2,2,2
高级中学,-,-,-,1,1
完中,8,8,8,7,7
九年一贯制,39,40,43,44,45
初中,2,3,3,3,4
小学,20,19,17,16,16
幼儿园,28,28,27,27,25
城市居民家庭人均消费支出结构,100,100,100,100,100
食品,35,35,37,35,33
衣着,6,6,6,6,6
居住,16,14,15,19,19
生活用品及服务,5,6,7,7,7
交通和通信,23,22,16,15,17
教育文化娱乐服务,9,10,8,10,10
卫生机构结构,100,100,100,100,100
医院,1,1,1,1,1
私人诊所,92,92,92,94,89
卫生技术人员结构,100,100,100,100,100
执业(助理)医师,36,39,39,1,1
注册护士,44,45,43,43,42
备注：2020年人口性别结构数据为“七普”数据。,,,,,
