主要社会经济指标（2018～2022）-指标,主要社会经济指标（2018～2022）-计算单位,主要社会经济指标（2018～2022）-2018,主要社会经济指标（2018～2022）-2019,主要社会经济指标（2018～2022）-2020,主要社会经济指标（2018～2022）-2021,主要社会经济指标（2018～2022）-2022
人口,,,,,,
人口,,,,,,
年末常住人口,万人,94,101.0,110.0,112.0,115
年末常住户籍人口,万人,8,10.0,14.0,18.0,20
年末常住非户籍人口,万人,86,91.0,96.0,94.0,95
宏观经济,,,,,,
国民经济核算,,,,,,
本地生产总值（GDP）,亿元,918,1017.0,1127.0,1348.0,1403
#第一产业,亿元,2,2.0,2.0,2.0,2
第二产业,亿元,627,685.0,757.0,970.0,1000
第三产业,亿元,289,330.0,368.0,376.0,401
人均GDP(按常住人口算）,万元,10,10.0,10.0,12.0,12
财政,,,,,,
一般公共预算收入,亿元,53,59.0,66.0,79.0,81
一般公共预算支出,亿元,121,133.0,148.0,182.0,179
固定资产投资,,,,,,
固定资产投资增速,%,29,30.0,28.0,11.0,7
#房地产开发投资增速,%,41,33.0,57.0,7.0,34
非房地产开发投资增速,%,25,29.0,16.0,14.0,(6)
产业,,,,,,
农业,,,,,,
农业总产值,亿元,3,4.0,4.0,4.0,4
工业,,,,,,
规模以上工业总产值,亿元,2206,2560.0,2891.0,3650.0,4230
规模以上工业总产值增速,%,(1),4.0,6.0,19.0,3
规模以上工业增加值增速,%,6,6.0,7.0,16.0,5
建筑业,,,,,,
建筑业总产值,亿元,3,6.0,66.0,100.0,159
全员劳动生产率,万元/人,32,54.0,94.0,39.0,35
批发零售和住宿餐饮业,,,,,,
社会消费品零售总额,亿元,182,196.0,196.0,220.0,238
限额以上批发零售商品销售总额,亿元,251,209.0,235.0,355.0,431
旅游,,,,,,
接待总人数,万人次,50,50.0,130.0,594.0,459
旅游业总收入,万元,8804,6741.0,9384.0,48936.0,47578
教育、科技、文化,,,,,,
教育,,,,,,
学校（园）数,所,114,118.0,128.0,134.0,140
教职工人数,人,9234,10207.0,11124.0,12151.0,13003
在校学生数,人,104047,111060.0,114118.0,122735.0,130660
小学,人,53523,56822.0,58470.0,61836.0,66374
科技,,,,,,
专利申请数,件,7365,11408.0,12259.0,13550.0,13350
有效发明专利数,件,14760,18177.0,20715.0,20419.0,23824
文化,,,,,,
公共图书馆（个）,个,33,33.0,44.0,46.0,47
公共图书馆总藏量,万册、万件,265,274.0,286.0,296.0,316
家庭、社会、环境,,,,,,
生活,,,,,,
城市居民家庭人均可支配收入,元,47222,51293.0,55053.0,60002.0,63102
城市居民家庭人均消费支出,元,30141,32118.0,31201.0,34233.0,34206
卫生,,,,,,
医院,个,3,3.0,3.0,3.0,3
卫生技术人员,人,3057,2939.0,3060.0,3112.0,3211
医院实际开放床位数,个,1600,1600.0,1600.0,1621.0,1621
园林绿化,,,,,,
城市人均绿地面积,平方米,24,28.0,37.0,37.0,37
水务,,,,,,
饮用水源水质达标率,%,100,100.0,100.0,100.0,100
城市供水能力,万吨/日,30,32.0,33.0,37.0,36
城市污水集中处理率,%,94,95.0,99.0,99.0,99
