8-4全国按户主的受教育程度分的家庭户住房状况-受教育程度-受教育程度-受教育程度,8-4全国按户主的受教育程度分的家庭户住房状况-户数-(户),8-4全国按户主的受教育程度分的家庭户住房状况-人数-(人),8-4全国按户主的受教育程度分的家庭户住房状况-平均每户-住房间数-(间/户),8-4全国按户主的受教育程度分的家庭户住房状况-人均住房-建筑面积-(平方米/人),8-4全国按户主的受教育程度分的家庭户住房状况-人均住房-间数-(间/人)
,,,,,
总  计,419809328.0,1151776859.0,3.0,40.0,1.0
未上过学,12377630.0,28405715.0,3.0,43.0,1.0
学前教育,637164.0,1457923.0,3.0,46.0,1.0
小  学,96963202.0,267323037.0,3.0,42.0,1.0
初  中,171835937.0,494486747.0,3.0,39.0,1.0
高  中,67098481.0,177757226.0,3.0,39.0,1.0
大学专科,36650447.0,93787064.0,3.0,39.0,1.0
大学本科,30225815.0,78017481.0,3.0,40.0,1.0
硕士研究生,3527026.0,9220585.0,3.0,40.0,1.0
博士研究生,493626.0,1321081.0,3.0,40.0,1.0
,,,,,
,,,,,
注：本表数据为居住在普通住宅的家庭户。,,,,,
