表2-5湖南省各民族按生育孩次分的育龄妇女人数-民族别-民族别,表2-5湖南省各民族按生育孩次分的育龄妇女人数-妇女数-妇女数,表2-5湖南省各民族按生育孩次分的育龄妇女人数-生育孩子数-合计,表2-5湖南省各民族按生育孩次分的育龄妇女人数-生育孩子数-男,表2-5湖南省各民族按生育孩次分的育龄妇女人数-生育孩子数-女,表2-5湖南省各民族按生育孩次分的育龄妇女人数-一孩-小计,表2-5湖南省各民族按生育孩次分的育龄妇女人数-一孩-男,表2-5湖南省各民族按生育孩次分的育龄妇女人数-一孩-女,表2-5湖南省各民族按生育孩次分的育龄妇女人数-二孩-小计,表2-5湖南省各民族按生育孩次分的育龄妇女人数-二孩-男,表2-5湖南省各民族按生育孩次分的育龄妇女人数-二孩-女,表2-5湖南省各民族按生育孩次分的育龄妇女人数-三孩及三孩以上-小计,表2-5湖南省各民族按生育孩次分的育龄妇女人数-单位：人-三孩及三孩以上-男,表2-5湖南省各民族按生育孩次分的育龄妇女人数-三孩及三孩以上-女
总计,5856,5943,3334,2609,3609,1906,1703,2050,1247,803,284,181,103
汉族,5135,5219,2938,2281,3227,1717,1510,1735,1058,677,257,163,94
土家族,293,305,171,134,147,72,75,146,89,57,12,10,2
苗族,213,206,109,97,121,59,62,75,45,30,10,5,5
侗族,93,93,46,47,46,21,25,47,25,22,0,0,0
瑶族,75,77,46,31,33,18,15,40,25,15,4,3,1
回族,13,13,8,5,11,7,4,2,1,1,0,0,0
白族,10,8,3,5,6,2,4,2,1,1,0,0,0
东乡族,1,1,1,0,0,0,0,1,1,0,0,0,0
蒙古族,2,2,0,2,2,0,2,0,0,0,0,0,0
壮族,11,10,6,4,10,6,4,0,0,0,0,0,0
其他民族,10,9,6,3,6,4,2,2,2,0,1,0,1
