8-2一般公共预算支出-LocalGeneralPublicBudgetExpenditure-单位：万元-项目,8-2一般公共预算支出-LocalGeneralPublicBudgetExpenditure-Item,8-2一般公共预算支出-LocalGeneralPublicBudgetExpenditure-2015,8-2一般公共预算支出-LocalGeneralPublicBudgetExpenditure-(10000yuan)-2016,8-2一般公共预算支出-LocalGeneralPublicBudgetExpenditure-(10000yuan)-2017,8-2一般公共预算支出-LocalGeneralPublicBudgetExpenditure-(10000yuan)-2018,8-2一般公共预算支出-LocalGeneralPublicBudgetExpenditure-(10000yuan)-2019,8-2一般公共预算支出-LocalGeneralPublicBudgetExpenditure-(10000yuan)-2020
,,,,,,,
一般公共预算支出合计,General Public Budget Expenditure,74975105.0,80088868.0,86947591.0,97075048.0,103481712.0,111985355.0
一般公共服务支出,"Expenditure for General Public
  Services",6222242.0,6827794.0,7932969.0,8970009.0,9556194.0,9476220.0
外交支出,Expenditure for Diplomatic,,,184.0,599.0,500.0,255.0
国防支出,Expenditure for National Defense,119020.0,168543.0,114257.0,135419.0,131574.0,139940.0
公共安全支出,Expenditure for Public Security,3697422.0,4293870.0,4714242.0,5283495.0,5256366.0,5271172.0
教育支出,Expenditure for Education,12523250.0,13018472.0,13892000.0,14617756.0,15788811.0,16861602.0
科学技术支出,"Expenditure for Science and
  Technology",966892.0,1010930.0,1065746.0,1479056.0,1849453.0,1817009.0
文化体育与传媒支出,"Expenditure for Culture, Sport
  and Media",1394140.0,1452012.0,1424636.0,1549093.0,1964752.0,2292681.0
社会保障和就业支出,"Expenditure for Social Safety 
   and Employment",11117513.0,13201666.0,15013454.0,16441671.0,17623003.0,19986738.0
卫生健康支出,"Expenditure for Health Care
  and Sanitation",6864163.0,7722403.0,8314550.0,8808866.0,9432664.0,10305174.0
节能环保支出,"Expenditure for Energy Conservation
  and Environment Protection",1693145.0,1663561.0,1977468.0,2269045.0,2670062.0,2640163.0
城乡社区支出,"Expenditure for Urban and Rural
   Community Affairs",5140783.0,5509253.0,7247945.0,6988681.0,8936367.0,7111654.0
农林水支出,"Expenditure for Agriculture, Forestry
   and Water Conservancy",9266496.0,9887068.0,10231290.0,13108851.0,12884232.0,13393597.0
交通运输支出,Expenditure for Transport,6011405.0,5691063.0,5266808.0,6239747.0,6878330.0,7927272.0
资源勘探信息等支出,"Expenditure for Exploration
  and Information",2515165.0,2638000.0,3004329.0,2985761.0,2216830.0,2981218.0
商业服务业等支出,"Expenditure for Commerce
  and Services",825191.0,734124.0,812055.0,775020.0,573211.0,658959.0
金融支出,Expenditure for Finance,173952.0,217889.0,141264.0,235768.0,113246.0,843898.0
援助其他地区支出,"Expenditure for Other Regional
  Assistance",53319.0,54886.0,50558.0,61714.0,58672.0,47865.0
自然资源海洋气象等支出,"Expenditure for Nature Resources,
  Maritime Meteorology",778679.0,676506.0,803534.0,1083321.0,731546.0,871580.0
住房保障支出,Expenditure for Housing Security,2889038.0,3122815.0,3251580.0,3507164.0,3489816.0,3814347.0
粮油物资储备支出,"Expenditure for Management of
   Grain & Oil Reserves",359485.0,334266.0,324090.0,339603.0,358248.0,460236.0
债务付息支出,"Expenditure for the Principal and
   Interest of Debts",175131.0,614736.0,968923.0,1491656.0,1939365.0,2214628.0
债务发行费用支出,Expenditure for Issuing Debts,10690.0,15465.0,13733.0,12259.0,15755.0,14237.0
其他支出,Other Expenditures,2177984.0,1233546.0,381976.0,690494.0,1012715.0,2854910.0
,,,,,,,
,,,,,,,
注：“卫生健康支出”“自然资源海洋气象等支出”在2018年及以前分别是“医疗卫生与计划生育支出”“国土海洋气象等支出”。,,,,,,,
"a) ""The Expenditure for Health Care and Sanitation"", ""Expenditure for nature resources, Maritime Meteorology"" are respectively ""Expenditure for",,,,,,,
"Health Care and Family Planning"" and ""Expenditure for Land, Maritime Meteorology"" in 2018 and before.",,,,,,,
