8-16股票交易额占国内生产总值的比重及股票交易周转率-StocksTradedValueasPercentageofGDPandTurnoverRatio-资料来源：世界银行WDI数据库。-Source:WorldBankWDIDatabase.-单位：%,8-16股票交易额占国内生产总值的比重及股票交易周转率-StocksTradedValueasPercentageofGDPandTurnoverRatio,8-16股票交易额占国内生产总值的比重及股票交易周转率-StocksTradedValueasPercentageofGDPandTurnoverRatio.1,8-16股票交易额占国内生产总值的比重及股票交易周转率-StocksTradedValueasPercentageofGDPandTurnoverRatio.2,8-16股票交易额占国内生产总值的比重及股票交易周转率-StocksTradedValueasPercentageofGDPandTurnoverRatio.3,8-16股票交易额占国内生产总值的比重及股票交易周转率-StocksTradedValueasPercentageofGDPandTurnoverRatio.4,8-16股票交易额占国内生产总值的比重及股票交易周转率-StocksTradedValueasPercentageofGDPandTurnoverRatio.5,8-16股票交易额占国内生产总值的比重及股票交易周转率-StocksTradedValueasPercentageofGDPandTurnoverRatio-(%)
国家或地区,Country or Area,"股票交易额占国内生产总值的比重
Stocks Traded, Total Value
(% of GDP)","股票交易额占国内生产总值的比重
Stocks Traded, Total Value
(% of GDP)","股票交易额占国内生产总值的比重
Stocks Traded, Total Value
(% of GDP)","股票交易周转率
Stocks Traded, Turnover
Ratio of Domestic Shares","股票交易周转率
Stocks Traded, Turnover
Ratio of Domestic Shares","股票交易周转率
Stocks Traded, Turnover
Ratio of Domestic Shares"
国家或地区,Country or Area,"股票交易额占国内生产总值的比重
Stocks Traded, Total Value
(% of GDP)","股票交易额占国内生产总值的比重
Stocks Traded, Total Value
(% of GDP)","股票交易额占国内生产总值的比重
Stocks Traded, Total Value
(% of GDP)","股票交易周转率
Stocks Traded, Turnover
Ratio of Domestic Shares","股票交易周转率
Stocks Traded, Turnover
Ratio of Domestic Shares","股票交易周转率
Stocks Traded, Turnover
Ratio of Domestic Shares"
国家或地区,Country or Area,"股票交易额占国内生产总值的比重
Stocks Traded, Total Value
(% of GDP)","股票交易额占国内生产总值的比重
Stocks Traded, Total Value
(% of GDP)","股票交易额占国内生产总值的比重
Stocks Traded, Total Value
(% of GDP)","股票交易周转率
Stocks Traded, Turnover
Ratio of Domestic Shares","股票交易周转率
Stocks Traded, Turnover
Ratio of Domestic Shares","股票交易周转率
Stocks Traded, Turnover
Ratio of Domestic Shares"
国家或地区,Country or Area,2000,2010,2020,2000,2010,2020
,,,,,,,
世    界,World,144,112,,144,130,
高收入国家,High Income,164,131,,147,137,
中低收入国家,Low and Middle Income,37,65,133,63,103,169
低收入国家,Low Income,,,,,,
中    国,China,62,136,215,,205,259
中国香港,"Hong Kong SAR, China",217,651,890,60,55,50
孟加拉国,Bangladesh,2,4,4,43,12,17
印    度,India,109,63,73,227,60,75
印度尼西亚,Indonesia,8,14,12,48,29,26
伊    朗,Iran,4,3,193,17,20,38
以 色 列,Israel,21,45,25,43,48,40
日    本,Japan,50,74,126,79,112,94
哈萨克斯坦,Kazakhstan,,0,0,,2,1
韩    国,"Korea, Rep.",86,143,316,289,149,239
马来西亚,Malaysia,56,45,74,46,28,57
蒙    古,Mongolia,,,,,,
巴基斯坦,Pakistan,31,6,,468,31,
菲 律 宾,Philippines,9,11,9,28,14,12
新 加 坡,Singapore,99,128,,62,47,
斯里兰卡,Sri Lanka,1,9,2,12,25,11
泰    国,Thailand,15,65,96,66,80,89
越    南,Viet Nam,,21,16,,84,31
埃    及,Egypt,,17,4,,44,39
尼日利亚,Nigeria,,1,1,,10,4
南    非,South Africa,46,66,87,35,30,28
加 拿 大,Canada,84,87,61,82,65,38
墨 西 哥,Mexico,6,10,7,36,24,21
美    国,United States,291,239,,197,208,
阿 根 廷,Argentina,3,1,1,20,4,
巴    西,Brazil,14,41,93,42,59,
委内瑞拉,Venezuela,2,,,27,,
捷    克,Czech Rep.,11,11,2,68,,16
法    国,France,79,51,,75,71,
德    国,Germany,94,44,47,144,105,79
意 大 利,Italy,86,31,,129,124,
荷    兰,Netherlands,156,66,,102,84,
波    兰,Poland,12,15,14,65,36,47
俄 罗 斯,Russia,,33,19,,53,40
西 班 牙,Spain,265,97,38,314,117,64
土 耳 其,Turkey,61,52,121,238,133,366
乌 克 兰,Ukraine,,2,,,7,
英    国,United Kingdom,110,129,,71,120,
澳大利亚,Australia,51,98,92,57,78,71
新 西 兰,New Zealand,19,1,10,54,,17
