8-2全国分年龄、性别、健康状况的60岁及以上老年人口-年龄-年龄,8-2全国分年龄、性别、健康状况的60岁及以上老年人口-单位：人-60岁及以上人口-合计,8-2全国分年龄、性别、健康状况的60岁及以上老年人口-单位：人-60岁及以上人口-男,8-2全国分年龄、性别、健康状况的60岁及以上老年人口-单位：人-60岁及以上人口-女,8-2全国分年龄、性别、健康状况的60岁及以上老年人口-单位：人-健康-小计,8-2全国分年龄、性别、健康状况的60岁及以上老年人口-单位：人-健康-男,8-2全国分年龄、性别、健康状况的60岁及以上老年人口-单位：人-健康-女,8-2全国分年龄、性别、健康状况的60岁及以上老年人口-单位：人-基本健康-小计,8-2全国分年龄、性别、健康状况的60岁及以上老年人口-单位：人-基本健康-男,8-2全国分年龄、性别、健康状况的60岁及以上老年人口-单位：人-基本健康-女,8-2全国分年龄、性别、健康状况的60岁及以上老年人口-单位：人-不健康，但生活能自理-小计,8-2全国分年龄、性别、健康状况的60岁及以上老年人口-单位：人-不健康，但生活能自理-男,8-2全国分年龄、性别、健康状况的60岁及以上老年人口-单位：人-不健康，但生活能自理-女,8-2全国分年龄、性别、健康状况的60岁及以上老年人口-单位：人-不健康，生活不能自理-小计,8-2全国分年龄、性别、健康状况的60岁及以上老年人口-单位：人-不健康，生活不能自理-男,8-2全国分年龄、性别、健康状况的60岁及以上老年人口-单位：人-不健康，生活不能自理-女
,,,,,,,,,,,,,,,
总  计,25523101.0,12312008.0,13211093.0,13946479.0,7084568.0,6861911.0,8322635.0,3763391.0,4559244.0,2655869.0,1202575.0,1453294.0,598118.0,261474.0,336644.0
,,,,,,,,,,,,,,,
60-64岁,7212331.0,3611534.0,3600797.0,5069528.0,2600001.0,2469527.0,1733385.0,798413.0,934972.0,351838.0,181589.0,170249.0,57580.0,31531.0,26049.0
60,1265735.0,630443.0,635292.0,938902.0,477758.0,461144.0,265601.0,120491.0,145110.0,52459.0,27312.0,25147.0,8773.0,4882.0,3891.0
61,1191490.0,601597.0,589893.0,858066.0,442764.0,415302.0,270843.0,125755.0,145088.0,53719.0,28169.0,25550.0,8862.0,4909.0,3953.0
62,1519108.0,765643.0,753465.0,1070123.0,552207.0,517916.0,363991.0,168760.0,195231.0,73073.0,38075.0,34998.0,11921.0,6601.0,5320.0
63,1696369.0,853241.0,843128.0,1169678.0,603042.0,566636.0,425726.0,197540.0,228186.0,86936.0,45033.0,41903.0,14029.0,7626.0,6403.0
64,1539629.0,760610.0,779019.0,1032759.0,524230.0,508529.0,407224.0,185867.0,221357.0,85651.0,43000.0,42651.0,13995.0,7513.0,6482.0
,,,,,,,,,,,,,,,
65-69岁,7261013.0,3557071.0,3703942.0,4416838.0,2246174.0,2170664.0,2233206.0,1011028.0,1222178.0,526764.0,255677.0,271087.0,84205.0,44192.0,40013.0
65,1601607.0,794038.0,807569.0,1041440.0,532330.0,509110.0,447496.0,204439.0,243057.0,97459.0,48933.0,48526.0,15212.0,8336.0,6876.0
66,1597292.0,784337.0,812955.0,1005996.0,511029.0,494967.0,470075.0,212865.0,257210.0,104560.0,51503.0,53057.0,16661.0,8940.0,7721.0
67,1436603.0,701663.0,734940.0,868775.0,440302.0,428473.0,445798.0,201495.0,244303.0,105170.0,51122.0,54048.0,16860.0,8744.0,8116.0
68,1425277.0,695588.0,729689.0,829991.0,422691.0,407300.0,463165.0,209186.0,253979.0,113876.0,54266.0,59610.0,18245.0,9445.0,8800.0
69,1200234.0,581445.0,618789.0,670636.0,339822.0,330814.0,406672.0,183043.0,223629.0,105699.0,49853.0,55846.0,17227.0,8727.0,8500.0
,,,,,,,,,,,,,,,
70-74岁,4813647.0,2341892.0,2471755.0,2363882.0,1212406.0,1151476.0,1809334.0,829847.0,979487.0,548156.0,253895.0,294261.0,92275.0,45744.0,46531.0
70,1132641.0,552550.0,580091.0,603937.0,308778.0,295159.0,400761.0,182858.0,217903.0,110052.0,51763.0,58289.0,17891.0,9151.0,8740.0
71,1091505.0,537267.0,554238.0,550280.0,284485.0,265795.0,404411.0,187481.0,216930.0,117661.0,55687.0,61974.0,19153.0,9614.0,9539.0
72,927034.0,450625.0,476409.0,449697.0,230228.0,219469.0,352483.0,161763.0,190720.0,106991.0,49741.0,57250.0,17863.0,8893.0,8970.0
73,874817.0,425034.0,449783.0,407401.0,209653.0,197748.0,339999.0,156448.0,183551.0,108913.0,49856.0,59057.0,18504.0,9077.0,9427.0
74,787650.0,376416.0,411234.0,352567.0,179262.0,173305.0,311680.0,141297.0,170383.0,104539.0,46848.0,57691.0,18864.0,9009.0,9855.0
,,,,,,,,,,,,,,,
75-79岁,2980508.0,1409194.0,1571314.0,1182539.0,597563.0,584976.0,1227840.0,558128.0,669712.0,476043.0,210248.0,265795.0,94086.0,43255.0,50831.0
75,690748.0,328485.0,362263.0,296253.0,150569.0,145684.0,277850.0,125665.0,152185.0,98587.0,43781.0,54806.0,18058.0,8470.0,9588.0
76,652501.0,312625.0,339876.0,267179.0,136759.0,130420.0,267149.0,122494.0,144655.0,99472.0,44527.0,54945.0,18701.0,8845.0,9856.0
77,574487.0,271017.0,303470.0,225309.0,113378.0,111931.0,237988.0,108206.0,129782.0,92996.0,41147.0,51849.0,18194.0,8286.0,9908.0
78,537691.0,252314.0,285377.0,204052.0,102054.0,101998.0,223905.0,101778.0,122127.0,90995.0,39952.0,51043.0,18739.0,8530.0,10209.0
79,525081.0,244753.0,280328.0,189746.0,94803.0,94943.0,220948.0,99985.0,120963.0,93993.0,40841.0,53152.0,20394.0,9124.0,11270.0
,,,,,,,,,,,,,,,
80-84岁,1897750.0,856619.0,1041131.0,593207.0,288988.0,304219.0,792825.0,353122.0,439703.0,404604.0,170782.0,233822.0,107114.0,43727.0,63387.0
80,462344.0,214196.0,248148.0,159161.0,79063.0,80098.0,193582.0,87661.0,105921.0,88678.0,38354.0,50324.0,20923.0,9118.0,11805.0
81,387427.0,175529.0,211898.0,123628.0,60114.0,63514.0,163175.0,72718.0,90457.0,80728.0,34333.0,46395.0,19896.0,8364.0,11532.0
82,395095.0,179490.0,215605.0,121649.0,59681.0,61968.0,165630.0,74409.0,91221.0,85325.0,36221.0,49104.0,22491.0,9179.0,13312.0
83,343475.0,153187.0,190288.0,101201.0,48898.0,52303.0,143080.0,63343.0,79737.0,77349.0,32306.0,45043.0,21845.0,8640.0,13205.0
84,309409.0,134217.0,175192.0,87568.0,41232.0,46336.0,127358.0,54991.0,72367.0,72524.0,29568.0,42956.0,21959.0,8426.0,13533.0
,,,,,,,,,,,,,,,
85-89岁,973818.0,398907.0,574911.0,245672.0,109998.0,135674.0,389836.0,161833.0,228003.0,244247.0,94265.0,149982.0,94063.0,32811.0,61252.0
85,264740.0,111113.0,153627.0,71469.0,32698.0,38771.0,108205.0,45496.0,62709.0,63875.0,25237.0,38638.0,21191.0,7682.0,13509.0
86,227319.0,93574.0,133745.0,58821.0,26407.0,32414.0,92078.0,38268.0,53810.0,55980.0,21780.0,34200.0,20440.0,7119.0,13321.0
87,204932.0,84218.0,120714.0,50673.0,22639.0,28034.0,81743.0,34168.0,47575.0,52207.0,20113.0,32094.0,20309.0,7298.0,13011.0
88,154282.0,61448.0,92834.0,36639.0,16009.0,20630.0,60531.0,24595.0,35936.0,39882.0,15046.0,24836.0,17230.0,5798.0,11432.0
89,122545.0,48554.0,73991.0,28070.0,12245.0,15825.0,47279.0,19306.0,27973.0,32303.0,12089.0,20214.0,14893.0,4914.0,9979.0
,,,,,,,,,,,,,,,
90-94岁,312846.0,115437.0,197409.0,62758.0,25438.0,37320.0,113469.0,43742.0,69727.0,85128.0,30279.0,54849.0,51491.0,15978.0,35513.0
90,106074.0,41051.0,65023.0,23121.0,9898.0,13223.0,39837.0,15911.0,23926.0,28450.0,10572.0,17878.0,14666.0,4670.0,9996.0
91,72886.0,27037.0,45849.0,14454.0,5841.0,8613.0,26468.0,10256.0,16212.0,20102.0,7100.0,13002.0,11862.0,3840.0,8022.0
92,60934.0,21980.0,38954.0,11754.0,4652.0,7102.0,21851.0,8298.0,13553.0,16714.0,5810.0,10904.0,10615.0,3220.0,7395.0
93,42736.0,15095.0,27641.0,7876.0,3038.0,4838.0,15035.0,5595.0,9440.0,11625.0,4007.0,7618.0,8200.0,2455.0,5745.0
94,30216.0,10274.0,19942.0,5553.0,2009.0,3544.0,10278.0,3682.0,6596.0,8237.0,2790.0,5447.0,6148.0,1793.0,4355.0
,,,,,,,,,,,,,,,
95-99岁,63626.0,19576.0,44050.0,10965.0,3732.0,7233.0,20523.0,6678.0,13845.0,17182.0,5379.0,11803.0,14956.0,3787.0,11169.0
95,23449.0,7523.0,15926.0,4170.0,1439.0,2731.0,7698.0,2564.0,5134.0,6464.0,2136.0,4328.0,5117.0,1384.0,3733.0
96,16489.0,5063.0,11426.0,2813.0,973.0,1840.0,5390.0,1728.0,3662.0,4494.0,1403.0,3091.0,3792.0,959.0,2833.0
97,10967.0,3306.0,7661.0,1894.0,631.0,1263.0,3497.0,1141.0,2356.0,2902.0,865.0,2037.0,2674.0,669.0,2005.0
98,7293.0,2148.0,5145.0,1188.0,387.0,801.0,2285.0,716.0,1569.0,1880.0,588.0,1292.0,1940.0,457.0,1483.0
99,5428.0,1536.0,3892.0,900.0,302.0,598.0,1653.0,529.0,1124.0,1442.0,387.0,1055.0,1433.0,318.0,1115.0
,,,,,,,,,,,,,,,
100岁及以上,7562.0,1778.0,5784.0,1090.0,268.0,822.0,2217.0,600.0,1617.0,1907.0,461.0,1446.0,2348.0,449.0,1899.0
