表5-5-行业大类-行业大类,就业人口-（1）,未上过学-（2）,湖南省按行业门类、性别、受教育程度分的就业人口-小学-（3）,初中-（4）,高中-（5）,大学专科-（6）,单位：人-大学本科-（7）,研究生及以上-（8）,Unnamed: 9,Unnamed: 10
总计,340307,15887.0,104101.0,157154.0,44331,13211,5318.0,305.0,220319.0,115593.0
农、林、牧、渔业,221094,15132.0,90369.0,100516.0,14556,459,58.0,4.0,65.0,52.0
采矿业,4134,32.0,969.0,2329.0,712,74,18.0,,45661.0,38028.0
制造业,29000,219.0,4299.0,17012.0,5993,1123,325.0,29.0,73552.0,83.0
电力、燃气及水的生产和供应业,2304,6.0,130.0,756.0,887,407,116.0,2.0,66698.0,66684.0
建筑业,10223,74.0,1904.0,6272.0,1583,293,97.0,,91.0,
交通运输、仓储和邮政业,9413,23.0,940.0,5202.0,2653,497,94.0,4.0,,
信息传输、计算机服务和软件业,1129,2.0,63.0,303.0,383,262,110.0,6.0,,
批发和零售业,24866,178.0,3118.0,13227.0,6926,1178,232.0,7.0,,
住宿和餐饮业,6588,52.0,783.0,4039.0,1507,170,37.0,,,
金融业,1606,1.0,19.0,210.0,549,574,242.0,11.0,,
房地产业,514,3.0,15.0,127.0,194,127,43.0,5.0,,
租赁和商务服务业,996,3.0,93.0,400.0,309,130,57.0,4.0,,
科学研究、技术服务和地质勘查业,469,1.0,10.0,70.0,131,118,126.0,13.0,,
水利、环境和公共设施管理业,810,6.0,70.0,237.0,251,125,108.0,13.0,,
居民服务和其他服务业,6505,115.0,871.0,3850.0,1490,152,26.0,1.0,,
教育,6685,6.0,116.0,532.0,1724,2739,1468.0,100.0,,
卫生、社会保障和社会福利业,3391,6.0,82.0,592.0,1307,1055,339.0,10.0,,
文化、体育和娱乐业,1440,6.0,66.0,469.0,477,248,162.0,12.0,,
公共管理和社会组织,9125,22.0,183.0,1009.0,2692,3476,1659.0,84.0,,
国际组织,15,,1.0,2.0,7,4,1.0,,,
男合计,189488,5160.0,54020.0,90360.0,28460,7858,3394.0,236.0,,
农、林、牧、渔业,116770,4817.0,45716.0,55879.0,10017,294,44.0,3.0,,
采矿业,3588,28.0,866.0,2026.0,592,59,17.0,,,
制造业,16618,95.0,2219.0,9456.0,3891,715,218.0,24.0,,
电力、燃气及水的生产和供应业,1587,4.0,102.0,559.0,607,246,67.0,2.0,,
建筑业,9081,61.0,1677.0,5649.0,1400,217,77.0,,,
交通运输、仓储和邮政业,8047,19.0,847.0,4627.0,2156,326,68.0,4.0,,
信息传输、计算机服务和软件业,668,2.0,30.0,169.0,222,171,71.0,3.0,,
批发和零售业,11981,53.0,1434.0,6177.0,3540,628,143.0,6.0,,
住宿和餐饮业,2877,12.0,277.0,1691.0,792,81,24.0,,,
金融业,818,,14.0,116.0,250,292,139.0,7.0,,
房地产业,359,2.0,10.0,97.0,139,78,29.0,4.0,,
租赁和商务服务业,602,,60.0,231.0,196,79,35.0,1.0,,
科学研究、技术服务和地质勘查业,340,1.0,8.0,52.0,89,84,95.0,11.0,,
水利、环境和公共设施管理业,498,,35.0,139.0,161,74,76.0,13.0,,
居民服务和其他服务业,3442,49.0,456.0,1979.0,857,83,17.0,1.0,,
教育,3407,2.0,61.0,236.0,801,1405,835.0,67.0,,
卫生、社会保障和社会福利业,1609,2.0,47.0,339.0,565,464,183.0,9.0,,
文化、体育和娱乐业,806,4.0,36.0,232.0,282,148,97.0,7.0,,
公共管理和社会组织,6381,9.0,124.0,706.0,1899,2411,1158.0,74.0,,
国际组织,9,,1.0,,4,3,1.0,,,
女合计,150819,10727.0,50081.0,66794.0,15871,5353,1924.0,69.0,,
农、林、牧、渔业,104324,10315.0,44653.0,44637.0,4539,165,14.0,1.0,,
采矿业,546,4.0,103.0,303.0,120,15,1.0,,,
制造业,12382,124.0,2080.0,7556.0,2102,408,107.0,5.0,,
电力、燃气及水的生产和供应业,717,2.0,28.0,197.0,280,161,49.0,,,
建筑业,1142,13.0,227.0,623.0,183,76,20.0,,,
交通运输、仓储和邮政业,1366,4.0,93.0,575.0,497,171,26.0,,,
信息传输、计算机服务和软件业,461,,33.0,134.0,161,91,39.0,3.0,,
批发和零售业,12885,125.0,1684.0,7050.0,3386,550,89.0,1.0,,
住宿和餐饮业,3711,40.0,506.0,2348.0,715,89,13.0,,,
金融业,788,1.0,5.0,94.0,299,282,103.0,4.0,,
房地产业,155,1.0,5.0,30.0,55,49,14.0,1.0,,
租赁和商务服务业,394,3.0,33.0,169.0,113,51,22.0,3.0,,
科学研究、技术服务和地质勘查业,129,,2.0,18.0,42,34,31.0,2.0,,
水利、环境和公共设施管理业,312,6.0,35.0,98.0,90,51,32.0,,,
居民服务和其他服务业,3063,66.0,415.0,1871.0,633,69,9.0,,,
教育,3278,4.0,55.0,296.0,923,1334,633.0,33.0,,
卫生、社会保障和社会福利业,1782,4.0,35.0,253.0,742,591,156.0,1.0,,
文化、体育和娱乐业,634,2.0,30.0,237.0,195,100,65.0,5.0,,
公共管理和社会组织,2744,13.0,59.0,303.0,793,1065,501.0,10.0,,
国际组织,6,,,2.0,3,1,,,,
