1-3-19全国按九大农区分的农业生产经营单位农林牧渔服务业收支情况-名称-名称,1-3-19全国按九大农区分的农业生产经营单位农林牧渔服务业收支情况-单位：万元-全年经营总收入-全年经营总收入,1-3-19全国按九大农区分的农业生产经营单位农林牧渔服务业收支情况-单位：万元-其中：农林牧渔服务业收入-合计,1-3-19全国按九大农区分的农业生产经营单位农林牧渔服务业收支情况-单位：万元-其中：农林牧渔服务业收入-农作物种植业服务业,1-3-19全国按九大农区分的农业生产经营单位农林牧渔服务业收支情况-单位：万元-其中：农林牧渔服务业收入-林业服务业,1-3-19全国按九大农区分的农业生产经营单位农林牧渔服务业收支情况-单位：万元-其中：农林牧渔服务业收入-畜牧业服务业,1-3-19全国按九大农区分的农业生产经营单位农林牧渔服务业收支情况-单位：万元-其中：农林牧渔服务业收入-渔业服务业,1-3-19全国按九大农区分的农业生产经营单位农林牧渔服务业收支情况-单位：万元-全年农林牧渔服务业支出-全年农林牧渔服务业支出
名  称,"全年经营
总收入",合计,"农作物种植业
服务业","林业
服务业","畜牧业
服务业","渔业
服务业","全年农林牧渔
服务业支出"
,,,,,,,
合  计,74386439,11239090,6962226,721582,2493791,1061491,2560564
东北,8481818,551891,126565,55230,159718,210378,167605
长城沿线,750827,175109,61689,16121,95887,1412,154895
黄淮海,12794276,2267572,1691931,60737,354511,160393,272039
黄土高原,1721863,533123,329709,49993,139652,13769,157292
长江中下游,20740082,3757752,2515375,176378,728623,337376,782861
西南,5322722,1102886,298247,239174,510193,55272,354764
华南,19161583,1232233,532409,114368,325668,259788,304860
甘新,4556429,1515101,1379874,4494,125731,5002,278798
青藏,179491,19487,11828,2433,4935,291,50977
