序号,分数357分，广东排位：263000左右-填志愿阶段,学校,公办/民办,学费/年,招收人数,所报专业,2023年最低录取分数,2023年最低排位
1,冲,深圳城市职业学院,公办,6000,86,计算机网络技术,359,339866
2,冲,河源职业技术学院,公办,5200-6410,55,电气自动化，工业机器人应用技术,353,339676
3,冲,广东机电职业技术学院,公办,6410,3236,数控技术,363,330791
4,冲,江西软件职业技术大学,民办,13800,43,无人机应用技术,343,348200
5,冲,揭阳职业技术学院,公办,5250-6410,2,师范类专业,366,327830
6,冲,广州工程技术职业学院,公办,5250-15000,76,新能源技术应用,363,331285
7,冲,西安高新科技职业学院,民办,8900,5,计算机网络技术,363,330762
8,冲,广州康大职业技术学院,民办,19900,464,护理/人工智能技术应用,363,330522
9,冲,江西航空职业学院,民办,10300,552,无人机应用技术,360,333707
10,冲,赣州职业技术学院,公办,5000,39,工业机器人应用技术,364,331658
11,冲,厦门安防科技职业学院,民办,11800,34,软件技术,358,336092
12,冲,江西新能源科技职业学院,民办,9800,255,新能源汽车技术,361,333249
13,稳,广西工程职业学院,民办,9800-12800,436,电气自动化，工业机器人应用技术,350,342553
14,稳,连云港职业技术学院,公办,5300,4342,无人机应用技术,393,298535
15,稳,石家庄科技信息职业学院,民办,4000-6000,754,计算机网络技术,339,351485
16,稳,武夷山职业学院,民办,8800-11800,24,计算机应用技术,309,371786
17,保,惠州经济职业技术学院,民办,15000-17000,5,物联网应用技术,328,359942
18,保,广州涉外经济职业学院,民办,12800,342,中医康复技术,316,368017
19,保,广州文理职业学院,民办,16800-19800,11,新能源汽车技术,287,384003
20,保,漳州科技职业学院,民办,10000-12000,41,软件技术,325,361803
21,保,福州软件职业学院,民办,10500,25,软件技术,364,329880
22,保,广西经济职业学院,民办,11000-18000,463,无人机应用技术,320,365192
23,保,广州东华职业学院,民办,18600-19800,155,工业机器人技术,319,366095
24,保,广西英华国际职业学院,民办,11000-12800,4577,新能源汽车技术,312,370207
