5-3-35各地区农村按住户兼业情况分的家庭户常住人口数量,单位：人,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
地    区,合计,纯农户,农业兼业户,非农业兼业户,非农户,非经营户
,,,,,,
全国合计,726847127,553238727,34694339,73313101,25968626,39632334
北    京,4363985,1539931,32146,342940,642350,1806618
天    津,3813446,2081087,83351,615652,329501,703855
河    北,49095128,37107534,2456204,7344037,888870,1298483
山    西,20564572,14804538,631963,3049132,742797,1336142
内 蒙 古,11436784,9291502,622397,396997,541312,584576
辽    宁,20209708,15641351,682631,1523552,802514,1559660
吉    林,12127702,10225313,681247,328885,362771,529486
黑 龙 江,14126692,11860492,483364,295929,509102,977805
上    海,3455368,1557197,7865,167587,268768,1453951
江    苏,41211105,27749035,1423311,6723164,1682706,3632889
浙    江,25962905,12939594,416273,4892795,3305243,4409000
安    徽,36625742,28301551,1328089,4824983,969415,1201704
福    建,18460791,10039090,1128170,2930980,2095478,2267073
江    西,22741919,15808360,2263992,3105608,817626,746333
山    东,64107328,50387145,2300682,6081637,1690911,3646953
河    南,66197756,53451365,3916679,7054019,812116,963577
湖    北,27273501,20968797,1451678,2665919,1023133,1163974
湖    南,35605038,25340345,3561695,4825950,925040,952008
广    东,40957983,26878918,1228393,3078187,3591358,6181127
广    西,29361633,24772844,1610140,1646457,572134,760058
海    南,3996735,3297923,311334,226656,89065,71757
重    庆,15252473,13757145,208563,662808,170617,453340
四    川,45439593,40628435,1201236,2500475,397616,711831
贵    州,24567771,20960798,932407,1240681,705908,727977
云    南,31219814,26907820,1432295,1620640,697181,561878
西    藏,2131459,1320428,695647,89573,20261,5550
陕    西,22424992,17635398,1211401,2589086,547661,441446
甘    肃,17698834,14528386,1495409,1456324,129446,89269
青    海,3124170,2585370,114841,283106,78352,62501
宁    夏,3447162,2856062,135485,286800,76581,92234
新    疆,9845038,8014973,645451,462542,482793,239279
东部地区,255424774,173577454,9387729,32403635,14584250,25471706
中部地区,209008528,158674956,13154096,25525611,5290127,6363738
西部地区,215949723,183259161,10305272,13235489,4419862,4729939
东北地区,46464102,37727156,1847242,2148366,1674387,3066951
