山东省人口年龄结构、抚养比和性别比-AgeCompositionandDependencyRatioofPopulation-单位：%-年份Year-年份Year-年份Year-年份Year,山东省人口年龄结构、抚养比和性别比-AgeCompositionandDependencyRatioofPopulation-总人口性别比(以女性为100)SexualRatioofTotalPopulation(female=100)-总人口性别比(以女性为100)SexualRatioofTotalPopulation(female=100)-总人口性别比(以女性为100)SexualRatioofTotalPopulation(female=100)-总人口性别比(以女性为100)SexualRatioofTotalPopulation(female=100),山东省人口年龄结构、抚养比和性别比-AgeCompositionandDependencyRatioofPopulation-各年龄段所占比重TheProportionofTotalPopulationByAge-各年龄段所占比重TheProportionofTotalPopulationByAge-各年龄段所占比重TheProportionofTotalPopulationByAge-0-14岁Aged0-14,山东省人口年龄结构、抚养比和性别比-AgeCompositionandDependencyRatioofPopulation-各年龄段所占比重TheProportionofTotalPopulationByAge-各年龄段所占比重TheProportionofTotalPopulationByAge-各年龄段所占比重TheProportionofTotalPopulationByAge-15-64岁Aged15-64,山东省人口年龄结构、抚养比和性别比-AgeCompositionandDependencyRatioofPopulation-各年龄段所占比重TheProportionofTotalPopulationByAge-各年龄段所占比重TheProportionofTotalPopulationByAge-各年龄段所占比重TheProportionofTotalPopulationByAge-65岁及以上Aged65andOver,山东省人口年龄结构、抚养比和性别比-AgeCompositionandDependencyRatioofPopulation-总抚养比GrossDependencyRatio-总抚养比GrossDependencyRatio-总抚养比GrossDependencyRatio-总抚养比GrossDependencyRatio,山东省人口年龄结构、抚养比和性别比-AgeCompositionandDependencyRatioofPopulation-少儿抚养比ChildrenDependencyRatio-少儿抚养比ChildrenDependencyRatio,山东省人口年龄结构、抚养比和性别比-AgeCompositionandDependencyRatioofPopulation-(%)-老年抚养比OldDependencyRatio-老年抚养比OldDependencyRatio
"年  份


Year","总人口性别比
(以女性为100)
Sexual Ratio
of Total
Population
(female=100)","0-14岁
Aged
0-14","15-64岁
Aged 
15-64","65岁及以上
Aged 65 
and Over","总抚养比

Gross
Dependency 
Ratio","少儿抚养比
Children
Dependency
Ratio","老年抚养比
Old
Dependency 
Ratio"
"年  份


Year","总人口性别比
(以女性为100)
Sexual Ratio
of Total
Population
(female=100)","0-14岁
Aged
0-14","15-64岁
Aged 
15-64","65岁及以上
Aged 65 
and Over","总抚养比

Gross
Dependency 
Ratio","少儿抚养比
Children
Dependency
Ratio","老年抚养比
Old
Dependency 
Ratio"
"年  份


Year","总人口性别比
(以女性为100)
Sexual Ratio
of Total
Population
(female=100)","0-14岁
Aged
0-14","15-64岁
Aged 
15-64","65岁及以上
Aged 65 
and Over","总抚养比

Gross
Dependency 
Ratio","少儿抚养比
Children
Dependency
Ratio","老年抚养比
Old
Dependency 
Ratio"
,,,,,,,
1982,103,31,63,6,58,49,9
1990,103,27,67,6,49,40,9
1995,104,25,68,7,47,36,11
2000,103,21,71,8,41,29,11
2001,103,20,71,8,40,29,11
2002,102,19,73,9,38,26,12
2003,100,18,73,9,38,25,12
2004,101,17,74,9,36,23,13
2005,102,16,74,10,35,21,13
2006,101,15,75,10,34,20,13
2007,101,15,75,10,34,20,14
2008,100,16,74,10,35,21,14
2009,102,16,74,10,35,21,14
2010,102,16,74,10,34,21,13
2011,102,16,74,10,35,21,13
2012,101,16,74,10,36,22,14
2013,101,16,73,11,37,22,15
2014,101,16,72,12,39,23,16
2015,102,17,71,12,40,23,17
2016,103,16,70,13,42,23,19
2017,103,17,69,14,45,25,20
2018,101,18,67,15,50,27,22
2019,99,18,66,16,51,27,24
2020,103,19,66,15,51,28,23
2021,103,18,66,16,52,28,24
2022,103,18,65,17,53,27,26
2023,102,17,65,17,53,26,27
,,,,,,,
,,,,,,,
注:1982、1990、2000、2010和2020年数据为人口普查数据；2001-2004年为抽样调查样本数据；其他年份为抽样调查估算数据。,,,,,,,
a)Data of 1982、1990、2000、2010 and 2020 are taken from the national population census.Data of 2001-2004 are taken from,a)Data of 1982、1990、2000、2010 and 2020 are taken from the national population census.Data of 2001-2004 are taken from ,a)Data of 1982、1990、2000、2010 and 2020 are taken from the national population census.Data of 2001-2004 are taken from ,a)Data of 1982、1990、2000、2010 and 2020 are taken from the national population census.Data of 2001-2004 are taken from ,a)Data of 1982、1990、2000、2010 and 2020 are taken from the national population census.Data of 2001-2004 are taken from ,a)Data of 1982、1990、2000、2010 and 2020 are taken from the national population census.Data of 2001-2004 are taken from ,a)Data of 1982、1990、2000、2010 and 2020 are taken from the national population census.Data of 2001-2004 are taken from ,a)Data of 1982、1990、2000、2010 and 2020 are taken from the national population census.Data of 2001-2004 are taken from 
Population Sample Survey. Others are estimated on population sample survey.,,,,,,,
