"TotalValueofImportandExportCommoditiesbyMajorCountries(Regions)inShandongProvince(2023)-TotalValueofImportandExportCommoditiesbyCountriesorRegions(2023)-Unit:10,000USD-Country(Region)-Country(Region)-Country(Region)-Country(Region)",TotalValueofImportandExportCommoditiesbyMajorCountries(Regions)inShandongProvince(2023)-TotalValueofImportandExportCommoditiesbyCountriesorRegions(2023)-Country(Region)-Country(Region)-Country(Region)-Country(Region),TotalValueofImportandExportCommoditiesbyMajorCountries(Regions)inShandongProvince(2023)-TotalValueofImportandExportCommoditiesbyCountriesorRegions(2023)-TotalValueofImportsandExports-TotalValueofImportsandExports-TotalValueofImportsandExports-TotalValueofImportsandExports,TotalValueofImportandExportCommoditiesbyMajorCountries(Regions)inShandongProvince(2023)-TotalValueofImportandExportCommoditiesbyCountriesorRegions(2023)-TotalValueofExports-TotalValueofExports-TotalValueofExports-TotalValueofExports,TotalValueofImportandExportCommoditiesbyMajorCountries(Regions)inShandongProvince(2023)-TotalValueofImportandExportCommoditiesbyCountriesorRegions(2023)-(10000USD)-TotalValueofImports-TotalValueofImports-TotalValueofImports-TotalValueofImports,Unnamed: 5
,,,,,
Total,Total,46438326,27616130,18822195,
Asia,Asia,22206805,13266797,8940007,
ASEAN,Asean,9242917,4188933,5053984,
China Hong Kong,Hong kong,929568,907514,22054,
Japan,Japan,2664738,1985754,678985,
South Korea,Republic of Korea,3727868,2496806,1231062,
China (Taiwan Province),Taiwan,851119,213749,637369,
Malaysia,Malaysia,4651747,910020,3741727,
Indonesia,Indonesia,911208,586193,325015,
Singapore,Singapore,818164,671728,146436,
India,India,1006670,813121,193549,
Thailand,Thailand,957390,563254,394137,
Africa,Africa,2887132,2004231,882901,
South Africa,South Africa,262697,202097,60599,
Europe,Europe,9162612,5234116,3928496,
European Union,EU,4233327,3345418,887909,
Germany,Germany,860802,595854,264949,
France,France,336247,256650,79597,
Italy,Italy,393997,288102,105895,
Netherlands,Netherlands,914885,840544,74342,
Spain,Spain,346375,286715,59660,
Sweden,Sweden,104163,56847,47316,
Belgium,Belgium,230739,210363,20376,
Switzerland,Switzerland,125774,24605,101169,
Russia,Russia,3704172,1016596,2687576,
Latin America,Latin America,4665760,2230441,2435319,
Argentina,Argentina,167303,82691,84613,
Brazil,Brazil,2004822,497045,1507777,
Chile,Chile,497493,163369,334124,
Mexico,Mexico,840754,760352,80402,
Panama,Panama,88254,75228,13026,
North America,North America,5453366,4100926,1352440,
United States,United States,4647845,3579401,1068444,
Canada,Canada,791031,521265,269766,
Oceania,Oceanic,2061039,779619,1281419,
Australia,Australia,1793907,654921,1138986,
New Zealand,New Zealand,196379,73824,122555,
,,,,,
,,,,,
"Note: The country of import refers to the country of origin, and the country of export refers to the final consuming country.",,,,,
a) The importing country refers to country of origin and the exporting country refers to country of final consumption.,a) The importing country refers to country of origin and the exporting country refers to country of final consumption.,a) The importing country refers to country of origin and the exporting country refers to country of final consumption.,a) The importing country refers to country of origin and the exporting country refers to country of final consumption.,a) The importing country refers to country of origin and the exporting country refers to country of final consumption.,a) The importing country refers to country of origin and the exporting country refers to country of final consumption.
