6-6NumberofWomenAged15-64intheCountrybyEducationalAttainmentandNumberofLiveBirths-EducationLevel-EducationLevel,6-6NumberofWomenAged15-64intheCountrybyEducationalAttainmentandNumberofLiveBirths-15-64yearsold-Numberofwomen,6-6NumberofWomenAged15-64intheCountrybyEducationalAttainmentandNumberofLiveBirths-Livebirths0-Livebirths0,6-6NumberofWomenAged15-64intheCountrybyEducationalAttainmentandNumberofLiveBirths-Livebirth1-Livebirth1,6-6NumberofWomenAged15-64intheCountrybyEducationalAttainmentandNumberofLiveBirths-Livebirthsof2children-Livebirthsof2children,6-6NumberofWomenAged15-64intheCountrybyEducationalAttainmentandNumberofLiveBirths-Livebirthsof3-Livebirthsof3,6-6NumberofWomenAged15-64intheCountrybyEducationalAttainmentandNumberofLiveBirths-Livebirthsof4-Livebirthsof4,6-6NumberofWomenAged15-64intheCountrybyEducationalAttainmentandNumberofLiveBirths-Unit:People-Livebirthsof5ormore-andabove
,,,,,,,
Total,46789337.0,10708157.0,15950793.0,15726420.0,3392945.0,757068.0,253954.0
Never attended school,926652.0,66314.0,150353.0,398060.0,201365.0,72709.0,37851.0
Preschool education,31824.0,4815.0,6702.0,13261.0,4898.0,1507.0,641.0
Elementary school,7958864.0,320703.0,1967682.0,3936117.0,1264379.0,340679.0,129304.0
Junior high school,18219818.0,2115516.0,6378590.0,7780706.0,1578630.0,290707.0,75669.0
High School,8962313.0,3222596.0,3406608.0,2023766.0,260433.0,40171.0,8739.0
College (junior college),5362227.0,2235795.0,2143293.0,914452.0,59631.0,7797.0,1259.0
Bachelor's degree,4766962.0,2437239.0,1705066.0,598898.0,22087.0,3221.0,451.0
Master's Degree,507936.0,279122.0,172021.0,55148.0,1363.0,248.0,34.0
Doctorate degree holders,52741.0,26057.0,20478.0,6012.0,159.0,29.0,6.0
